기업명,연도,보고서유형,성별,정규직,계약직,총급여
AK홀딩스,2014,반기보고서,남,8.0,1.0,280138000.0
AK홀딩스,2014,반기보고서,여,2.0,0.0,51871000.0
AK홀딩스,2014,사업보고서,남,8.0,1.0,900000000.0
AK홀딩스,2014,사업보고서,여,2.0,0.0,168000000.0
AK홀딩스,2015,반기보고서,남,8.0,1.0,382000000.0
AK홀딩스,2015,반기보고서,여,2.0,0.0,66000000.0
AK홀딩스,2015,사업보고서,남,0.0,0.0,627000000.0
AK홀딩스,2015,사업보고서,여,0.0,0.0,135000000.0
BNK금융지주,2014,반기보고서,남,39.0,8.0,2492000000.0
BNK금융지주,2014,반기보고서,여,6.0,1.0,173000000.0
BNK금융지주,2014,사업보고서,남,42.0,8.0,5168000000.0
BNK금융지주,2014,사업보고서,여,6.0,1.0,394000000.0
BNK금융지주,2015,반기보고서,남,40.0,9.0,2747000000.0
BNK금융지주,2015,반기보고서,여,6.0,1.0,183000000.0
BNK금융지주,2015,사업보고서,남,0.0,0.0,5838000000.0
BNK금융지주,2015,사업보고서,여,0.0,0.0,374000000.0
BYC,2014,반기보고서,남,343.0,0.0,5850250000.0
BYC,2014,반기보고서,여,370.0,0.0,3858782000.0
BYC,2014,사업보고서,남,379.0,0.0,12139062000.0
BYC,2014,사업보고서,여,379.0,0.0,7313463000.0
BYC,2015,반기보고서,남,380.0,0.0,6633511000.0
BYC,2015,반기보고서,여,394.0,0.0,4176566000.0
BYC,2015,사업보고서,남,0.0,0.0,13969691000.0
BYC,2015,사업보고서,여,0.0,0.0,8736369000.0
CJ,2014,반기보고서,남,33.0,0.0,989000000.0
CJ,2014,반기보고서,여,17.0,0.0,467000000.0
CJ,2014,사업보고서,남,34.0,0.0,2658000000.0
CJ,2014,사업보고서,여,14.0,0.0,1046000000.0
CJ,2015,반기보고서,남,34.0,0.0,1228000000.0
CJ,2015,반기보고서,여,20.0,0.0,434000000.0
CJ,2015,사업보고서,남,0.0,0.0,3026000000.0
CJ,2015,사업보고서,여,0.0,0.0,1192000000.0
CJ CGV,2014,반기보고서,남,768.0,1.0,15822000000.0
CJ CGV,2014,반기보고서,여,734.0,0.0,12042000000.0
CJ CGV,2014,사업보고서,남,757.0,3.0,32071000000.0
CJ CGV,2014,사업보고서,여,721.0,1.0,24419000000.0
CJ CGV,2015,반기보고서,남,742.0,2.0,16467000000.0
CJ CGV,2015,반기보고서,여,705.0,2.0,12775000000.0
CJ CGV,2015,사업보고서,남,0.0,0.0,32350000000.0
CJ CGV,2015,사업보고서,여,0.0,0.0,25903000000.0
CJ대한통운,2014,반기보고서,남,4278.0,397.0,111482161000.0
CJ대한통운,2014,반기보고서,여,532.0,161.0,11177470000.0
CJ대한통운,2014,사업보고서,남,4373.0,271.0,242936330000.0
CJ대한통운,2014,사업보고서,여,538.0,119.0,22763183000.0
CJ대한통운,2015,반기보고서,남,4352.0,262.0,91309540000.0
CJ대한통운,2015,반기보고서,여,544.0,115.0,8802654000.0
CJ대한통운,2015,사업보고서,남,0.0,0.0,250309826000.0
CJ대한통운,2015,사업보고서,여,0.0,0.0,22961448000.0
CJ씨푸드,2014,반기보고서,남,159.0,0.0,4251000000.0
CJ씨푸드,2014,반기보고서,여,143.0,15.0,2931309000.0
CJ씨푸드,2014,사업보고서,남,163.0,3.0,8008323000.0
CJ씨푸드,2014,사업보고서,여,144.0,20.0,5433151000.0
CJ씨푸드,2015,반기보고서,남,163.0,4.0,3903000000.0
CJ씨푸드,2015,반기보고서,여,150.0,23.0,2857000000.0
CJ씨푸드,2015,사업보고서,남,0.0,0.0,9400000000.0
CJ씨푸드,2015,사업보고서,여,0.0,0.0,6644000000.0
CJ제일제당,2014,반기보고서,남,3624.0,54.0,95230000000.0
CJ제일제당,2014,반기보고서,여,983.0,39.0,21233000000.0
CJ제일제당,2014,사업보고서,남,3703.0,60.0,210637000000.0
CJ제일제당,2014,사업보고서,여,974.0,57.0,47837000000.0
CJ제일제당,2015,반기보고서,남,3736.0,62.0,100803000000.0
CJ제일제당,2015,반기보고서,여,1008.0,50.0,23117000000.0
CJ제일제당,2015,사업보고서,남,0.0,0.0,234007000000.0
CJ제일제당,2015,사업보고서,여,0.0,0.0,54685000000.0
CS홀딩스,2014,반기보고서,남,2.0,0.0,47739000.0
CS홀딩스,2014,사업보고서,남,2.0,0.0,123428000.0
CS홀딩스,2015,반기보고서,남,3.0,0.0,76972000.0
CS홀딩스,2015,사업보고서,남,0.0,0.0,186469000.0
DB,2014,반기보고서,남,658.0,47.0,20886204000.0
DB,2014,반기보고서,여,152.0,22.0,3672730000.0
DB,2014,사업보고서,남,606.0,50.0,39085070000.0
DB,2014,사업보고서,여,142.0,21.0,7121100000.0
DB,2015,반기보고서,남,273.0,25.0,8787290000.0
DB,2015,반기보고서,여,74.0,16.0,2129434000.0
DB,2015,사업보고서,남,0.0,0.0,19182477.0
DB,2015,사업보고서,여,0.0,0.0,4255913.0
DB손해보험,2014,반기보고서,남,1921.0,89.0,93375048000.0
DB손해보험,2014,반기보고서,여,2871.0,107.0,60309191000.0
DB손해보험,2014,사업보고서,남,1928.0,112.0,164744358000.0
DB손해보험,2014,사업보고서,여,2819.0,116.0,110247020000.0
DB손해보험,2015,반기보고서,남,1948.0,77.0,94080757000.0
DB손해보험,2015,반기보고서,여,2744.0,89.0,58839323000.0
DB손해보험,2015,사업보고서,남,0.0,0.0,168796385000.0
DB손해보험,2015,사업보고서,여,0.0,0.0,108022328000.0
DB증권,2014,반기보고서,남,466.0,177.0,27546000000.0
DB증권,2014,반기보고서,여,214.0,67.0,6571000000.0
DB증권,2014,사업보고서,남,473.0,184.0,52045000000.0
DB증권,2014,사업보고서,여,207.0,73.0,12058000000.0
DB증권,2015,반기보고서,남,482.0,159.0,35173000000.0
DB증권,2015,반기보고서,여,204.0,84.0,7695000000.0
DB증권,2015,사업보고서,남,0.0,0.0,65946000000.0
DB증권,2015,사업보고서,여,0.0,0.0,13574000000.0
DB하이텍,2014,반기보고서,남,1151.0,2.0,34450000000.0
DB하이텍,2014,반기보고서,여,925.0,3.0,15708000000.0
DB하이텍,2014,사업보고서,남,1097.0,3.0,69834000000.0
DB하이텍,2014,사업보고서,여,896.0,3.0,32697000000.0
DB하이텍,2015,반기보고서,남,1057.0,3.0,34008000000.0
DB하이텍,2015,반기보고서,여,948.0,2.0,16625000000.0
DB하이텍,2015,사업보고서,남,0.0,0.0,70970000000.0
DB하이텍,2015,사업보고서,여,0.0,0.0,36503000000.0
