종목코드,기업명,성별,사업부문,정규직,계약직,직원합,총급여,연도,보고서유형
00992871,종근당,남,-,"1,301",33,"1,334","34,663,000,000",2014,반기보고서
00992871,종근당,여,-,419,61,480,"10,336,000,000",2014,반기보고서
00992871,종근당,남,-,"1,336",30,"1,366","75,414,000,000",2014,사업보고서
00992871,종근당,여,-,446,43,489,"23,203,000,000",2014,사업보고서
00992871,종근당,남,-,"1,323",26,"1,349","39,217,000,000",2015,반기보고서
00992871,종근당,여,-,462,55,517,"12,515,000,000",2015,반기보고서
00992871,종근당,남,-,-,-,"1,391","80,768,000,000",2015,사업보고서
00992871,종근당,여,-,-,-,512,"25,633,000,000",2015,사업보고서
00136402,신송홀딩스,남,신송홀딩스(주),21,-,21,"586,000,000",2014,반기보고서
00136402,신송홀딩스,여,신송홀딩스(주),3,-,3,"62,000,000",2014,반기보고서
00136402,신송홀딩스,남,신송홀딩스(주),21,-,21,"745,000,000",2014,사업보고서
00136402,신송홀딩스,여,신송홀딩스(주),3,-,3,"68,000,000",2014,사업보고서
00136402,신송홀딩스,남,신송홀딩스(주),22,-,22,"481,000,000",2015,반기보고서
00136402,신송홀딩스,여,신송홀딩스(주),5,-,5,"50,000,000",2015,반기보고서
00136402,신송홀딩스,남,경영지원,-,-,21,"926,000,000",2015,사업보고서
00136402,신송홀딩스,여,경영지원,-,-,3,"88,000,000",2015,사업보고서
00990165,아세아시멘트,남,시멘트,427,-,427,"13,734,453,762",2014,반기보고서
00990165,아세아시멘트,여,시멘트,22,-,22,"373,397,370",2014,반기보고서
00990165,아세아시멘트,남,시멘트,444,2,446,"34,470,941,504",2014,사업보고서
00990165,아세아시멘트,여,시멘트,23,-,23,"902,701,755",2014,사업보고서
00990165,아세아시멘트,남,시멘트,425,1,426,"13,340,444,000",2015,반기보고서
00990165,아세아시멘트,여,시멘트,24,-,24,"381,803,000",2015,반기보고서
00990165,아세아시멘트,남,시멘트,-,-,440,"32,364,713,000",2015,사업보고서
00990165,아세아시멘트,여,시멘트,-,-,24,"828,942,000",2015,사업보고서
00302926,현대로템,남,공통부문,287,12,299,"10,410,000,000",2014,반기보고서
00302926,현대로템,여,공통부문,13,21,34,"574,000,000",2014,반기보고서
00302926,현대로템,남,철도부문,"1,821",132,"1,953","65,051,000,000",2014,반기보고서
00302926,현대로템,여,철도부문,28,32,60,"1,213,000,000",2014,반기보고서
00302926,현대로템,남,중기부문,882,64,946,"31,815,000,000",2014,반기보고서
00302926,현대로템,여,중기부문,11,8,19,"456,000,000",2014,반기보고서
00302926,현대로템,남,플랜트부문,435,84,519,"17,549,000,000",2014,반기보고서
00302926,현대로템,여,플랜트부문,2,12,14,"185,000,000",2014,반기보고서
00302926,현대로템,남,공통부문,352,9,361,"32,672,000,000",2014,사업보고서
00302926,현대로템,여,공통부문,13,26,39,"1,696,000,000",2014,사업보고서
00302926,현대로템,남,철도부문,"1,833",61,"1,894","173,139,000,000",2014,사업보고서
00302926,현대로템,여,철도부문,31,24,55,"3,347,000,000",2014,사업보고서
00302926,현대로템,남,중기부문,924,19,943,"88,498,000,000",2014,사업보고서
00302926,현대로템,여,중기부문,12,6,18,"1,269,000,000",2014,사업보고서
00302926,현대로템,남,플랜트부문,428,83,511,"43,576,000,000",2014,사업보고서
00302926,현대로템,여,플랜트부문,3,13,16,"535,000,000",2014,사업보고서
00302926,현대로템,남,공통부문,305,9,314,"10,655,000,000",2015,반기보고서
00302926,현대로템,여,공통부문,14,18,32,"472,000,000",2015,반기보고서
00302926,현대로템,남,철도부문,"1,807",47,"1,854","63,300,000,000",2015,반기보고서
00302926,현대로템,여,철도부문,29,20,49,"1,025,000,000",2015,반기보고서
00302926,현대로템,남,중기부문,877,38,915,"32,309,000,000",2015,반기보고서
00302926,현대로템,여,중기부문,11,3,14,"366,000,000",2015,반기보고서
00302926,현대로템,남,플랜트부문,468,80,548,"18,630,000,000",2015,반기보고서
00302926,현대로템,여,플랜트부문,3,12,15,"215,000,000",2015,반기보고서
00302926,현대로템,남,공통부문,-,-,411,"34,012,000,000",2015,사업보고서
00302926,현대로템,여,공통부문,-,-,37,"1,318,000,000",2015,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,827","157,601,000,000",2015,사업보고서
00302926,현대로템,여,철도부문,-,-,45,"2,440,000,000",2015,사업보고서
00302926,현대로템,남,중기부문,-,-,911,"81,380,000,000",2015,사업보고서
00302926,현대로템,여,중기부문,-,-,15,"984,000,000",2015,사업보고서
00302926,현대로템,남,플랜트부문,-,-,525,"43,098,000,000",2015,사업보고서
00302926,현대로템,여,플랜트부문,-,-,12,"421,000,000",2015,사업보고서
00983040,한진칼,남,지주부문,6,-,6,"219,290,112",2014,반기보고서
00983040,한진칼,여,지주부문,1,-,1,"26,995,822",2014,반기보고서
00983040,한진칼,남,지주부문,-,-,30,"506,354,119",2014,사업보고서
00983040,한진칼,여,지주부문,-,-,3,"13,961,130",2014,사업보고서
00983040,한진칼,남,지주부문,31,-,31,"1,193,742,368",2015,반기보고서
00983040,한진칼,여,지주부문,4,1,5,"119,272,602",2015,반기보고서
00983040,한진칼,남,지주부문,-,-,31,"2,405,945,683",2015,사업보고서
00983040,한진칼,여,지주부문,-,-,5,"287,339,244",2015,사업보고서
