종목코드,기업명,성별,사업부문,정규직,계약직,직원합,총급여,연도,보고서유형
00992871,종근당,남,-,-,-,"1,353","41,806,000,000",2016,반기보고서
00992871,종근당,여,-,-,-,495,"13,346,000,000",2016,반기보고서
00992871,종근당,남,-,-,-,"1,373","85,503,000,000",2016,사업보고서
00992871,종근당,여,-,-,-,510,"26,611,000,000",2016,사업보고서
00992871,종근당,남,-,-,-,"1,398","44,253,000,000",2017,반기보고서
00992871,종근당,여,-,-,-,538,"13,550,000,000",2017,반기보고서
00992871,종근당,남,-,-,-,"1,467","88,132,000,000",2017,사업보고서
00992871,종근당,여,-,-,-,539,"27,558,000,000",2017,사업보고서
00136402,신송홀딩스,남,경영지원,-,-,21,"476,000,000",2016,반기보고서
00136402,신송홀딩스,여,경영지원,-,-,3,"44,000,000",2016,반기보고서
00136402,신송홀딩스,남,경영지원,-,-,18,"802,000,000",2016,사업보고서
00136402,신송홀딩스,여,경영지원,-,-,3,"85,000,000",2016,사업보고서
00136402,신송홀딩스,남,경영지원,-,-,14,"318,000,000",2017,반기보고서
00136402,신송홀딩스,여,경영지원,-,-,2,"27,000,000",2017,반기보고서
00136402,신송홀딩스,남,경영지원,-,-,10,"491,000,000",2017,사업보고서
00136402,신송홀딩스,여,경영지원,-,-,2,"56,000,000",2017,사업보고서
00990165,아세아시멘트,남,시멘트,-,-,426,"13,966,483,000",2016,반기보고서
00990165,아세아시멘트,여,시멘트,-,-,23,"406,113,000",2016,반기보고서
00990165,아세아시멘트,남,시멘트,-,-,440,"31,539,990,000",2016,사업보고서
00990165,아세아시멘트,여,시멘트,-,-,23,"876,606,000",2016,사업보고서
00990165,아세아시멘트,남,시멘트부문,-,-,465,"15,221,323,000",2017,반기보고서
00990165,아세아시멘트,여,시멘트부문,-,-,23,"423,695,000",2017,반기보고서
00990165,아세아시멘트,남,시멘트,-,-,468,"33,838,446,000",2017,사업보고서
00990165,아세아시멘트,여,시멘트,-,-,23,"932,055,000",2017,사업보고서
00302926,현대로템,남,공통부문,-,-,286,"9,589,000,000",2016,반기보고서
00302926,현대로템,여,공통부문,-,-,33,"465,000,000",2016,반기보고서
00302926,현대로템,남,철도부문,-,-,"1,786","56,932,000,000",2016,반기보고서
00302926,현대로템,여,철도부문,-,-,46,"902,000,000",2016,반기보고서
00302926,현대로템,남,중기부문,-,-,918,"29,549,000,000",2016,반기보고서
00302926,현대로템,여,중기부문,-,-,15,"375,000,000",2016,반기보고서
00302926,현대로템,남,플랜트부문,-,-,471,"15,952,000,000",2016,반기보고서
00302926,현대로템,여,플랜트부문,-,-,10,"163,000,000",2016,반기보고서
00302926,현대로템,남,공통부문,-,-,289,"24,453,000,000",2016,사업보고서
00302926,현대로템,여,공통부문,-,-,30,"1,161,000,000",2016,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,807","153,617,000,000",2016,사업보고서
00302926,현대로템,여,철도부문,-,-,39,"2,219,000,000",2016,사업보고서
00302926,현대로템,남,중기부문,-,-,914,"80,839,000,000",2016,사업보고서
00302926,현대로템,여,중기부문,-,-,14,"1,042,000,000",2016,사업보고서
00302926,현대로템,남,플랜트부문,-,-,473,"37,965,000,000",2016,사업보고서
00302926,현대로템,여,플랜트부문,-,-,9,"377,000,000",2016,사업보고서
00302926,현대로템,남,공통부문,-,-,315,"10,855,000,000",2017,반기보고서
00302926,현대로템,여,공통부문,-,-,33,"594,000,000",2017,반기보고서
00302926,현대로템,남,철도부문,-,-,"1,722","57,294,000,000",2017,반기보고서
00302926,현대로템,여,철도부문,-,-,32,"705,000,000",2017,반기보고서
00302926,현대로템,남,방산부문,-,-,968,"33,767,000,000",2017,반기보고서
00302926,현대로템,여,방산부문,-,-,13,"388,000,000",2017,반기보고서
00302926,현대로템,남,플랜트부문,-,-,464,"15,996,000,000",2017,반기보고서
00302926,현대로템,여,플랜트부문,-,-,8,"181,000,000",2017,반기보고서
00302926,현대로템,남,공통부문,-,-,312,"26,137,000,000",2017,사업보고서
00302926,현대로템,여,공통부문,-,-,30,"1,351,000,000",2017,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,705","144,154,000,000",2017,사업보고서
00302926,현대로템,여,철도부문,-,-,30,"1,759,000,000",2017,사업보고서
00302926,현대로템,남,방산부문,-,-,966,"83,623,000,000",2017,사업보고서
00302926,현대로템,여,방산부문,-,-,11,"863,000,000",2017,사업보고서
00302926,현대로템,남,플랜트부문,-,-,494,"41,403,000,000",2017,사업보고서
00302926,현대로템,여,플랜트부문,-,-,8,"372,000,000",2017,사업보고서
00983040,한진칼,남,지주부문,-,-,26,"1,006,565,525",2016,반기보고서
00983040,한진칼,여,지주부문,-,-,4,"100,071,792",2016,반기보고서
00983040,한진칼,남,지주부문,-,-,27,"1,626,872,782",2016,사업보고서
00983040,한진칼,여,지주부문,-,-,4,"229,749,852",2016,사업보고서
00983040,한진칼,남,지주부문,-,-,27,"1,029,087,787",2017,반기보고서
00983040,한진칼,여,지주부문,-,-,4,"143,691,011",2017,반기보고서
00983040,한진칼,남,지주부문,-,-,26,"1,875,851,490",2017,사업보고서
00983040,한진칼,여,지주부문,-,-,4,"222,346,300",2017,사업보고서
00983271,NHN,남,전사,-,-,475,"15,103,912,000",2016,반기보고서
00983271,NHN,여,전사,-,-,247,"6,670,928,000",2016,반기보고서
00983271,NHN,남,전사,-,-,536,"33,287,392,000",2016,사업보고서
00983271,NHN,여,전사,-,-,244,"14,086,974,000",2016,사업보고서
00983271,NHN,남,전사,-,-,462,"17,860,396,000",2017,반기보고서
00983271,NHN,여,전사,-,-,207,"7,203,810,000",2017,반기보고서
00983271,NHN,남,전사,-,-,520,"34,477,954,000",2017,사업보고서
