기업명,연도,보고서유형,성별,정규직,계약직,총급여
AK홀딩스,2016,반기보고서,남,0.0,0.0,562000000.0
AK홀딩스,2016,반기보고서,여,0.0,0.0,69000000.0
AK홀딩스,2016,사업보고서,남,0.0,0.0,1090000000.0
AK홀딩스,2016,사업보고서,여,0.0,0.0,154000000.0
AK홀딩스,2017,반기보고서,남,0.0,0.0,609000000.0
AK홀딩스,2017,반기보고서,여,0.0,0.0,67000000.0
AK홀딩스,2017,사업보고서,남,0.0,0.0,1183000000.0
AK홀딩스,2017,사업보고서,여,0.0,0.0,149000000.0
BNK금융지주,2016,반기보고서,남,0.0,0.0,3758000000.0
BNK금융지주,2016,반기보고서,여,0.0,0.0,153000000.0
BNK금융지주,2016,사업보고서,남,0.0,0.0,7171000000.0
BNK금융지주,2016,사업보고서,여,0.0,0.0,347000000.0
BNK금융지주,2017,반기보고서,남,0.0,0.0,3694000000.0
BNK금융지주,2017,반기보고서,여,0.0,0.0,236000000.0
BNK금융지주,2017,사업보고서,남,0.0,0.0,7173000000.0
BNK금융지주,2017,사업보고서,여,0.0,0.0,614000000.0
BYC,2016,반기보고서,남,0.0,0.0,6812256000.0
BYC,2016,반기보고서,여,0.0,0.0,4359581000.0
BYC,2016,사업보고서,남,0.0,0.0,14029203000.0
BYC,2016,사업보고서,여,0.0,0.0,8444439000.0
BYC,2017,반기보고서,남,0.0,0.0,6970042000.0
BYC,2017,반기보고서,여,0.0,0.0,4322681000.0
BYC,2017,사업보고서,남,0.0,0.0,14819453000.0
BYC,2017,사업보고서,여,0.0,0.0,9412155000.0
CJ,2016,반기보고서,남,0.0,0.0,819000000.0
CJ,2016,반기보고서,여,0.0,0.0,412000000.0
CJ,2016,사업보고서,남,0.0,0.0,1643000000.0
CJ,2016,사업보고서,여,0.0,0.0,763000000.0
CJ,2017,반기보고서,남,0.0,0.0,804000000.0
CJ,2017,반기보고서,여,0.0,0.0,358000000.0
CJ,2017,사업보고서,남,0.0,0.0,1640000000.0
CJ,2017,사업보고서,여,0.0,0.0,756000000.0
CJ CGV,2016,반기보고서,남,0.0,0.0,18669000000.0
CJ CGV,2016,반기보고서,여,0.0,0.0,13842000000.0
CJ CGV,2016,사업보고서,남,0.0,0.0,37272000000.0
CJ CGV,2016,사업보고서,여,0.0,0.0,27638000000.0
CJ CGV,2017,반기보고서,남,0.0,0.0,19438000000.0
CJ CGV,2017,반기보고서,여,0.0,0.0,15288000000.0
CJ CGV,2017,사업보고서,남,0.0,0.0,36416000000.0
CJ CGV,2017,사업보고서,여,0.0,0.0,29318000000.0
CJ대한통운,2016,반기보고서,남,0.0,0.0,120292470000.0
CJ대한통운,2016,반기보고서,여,0.0,0.0,12077564000.0
CJ대한통운,2016,사업보고서,남,0.0,0.0,259471476000.0
CJ대한통운,2016,사업보고서,여,0.0,0.0,25967804000.0
CJ대한통운,2017,반기보고서,남,0.0,0.0,131022789000.0
CJ대한통운,2017,반기보고서,여,0.0,0.0,13969438000.0
CJ대한통운,2017,사업보고서,남,0.0,0.0,285378903000.0
CJ대한통운,2017,사업보고서,여,0.0,0.0,31390204000.0
CJ씨푸드,2016,반기보고서,남,0.0,0.0,4630000000.0
CJ씨푸드,2016,반기보고서,여,0.0,0.0,3426000000.0
CJ씨푸드,2016,사업보고서,남,0.0,0.0,9714000000.0
CJ씨푸드,2016,사업보고서,여,0.0,0.0,6735000000.0
CJ씨푸드,2017,반기보고서,남,0.0,0.0,4204000000.0
CJ씨푸드,2017,반기보고서,여,0.0,0.0,3104000000.0
CJ씨푸드,2017,사업보고서,남,0.0,0.0,8124000000.0
CJ씨푸드,2017,사업보고서,여,0.0,0.0,5890000000.0
CJ제일제당,2016,반기보고서,남,0.0,0.0,105842000000.0
CJ제일제당,2016,반기보고서,여,0.0,0.0,27030000000.0
CJ제일제당,2016,사업보고서,남,0.0,0.0,245246000000.0
CJ제일제당,2016,사업보고서,여,0.0,0.0,61621000000.0
CJ제일제당,2017,반기보고서,남,0.0,0.0,117764000000.0
CJ제일제당,2017,반기보고서,여,0.0,0.0,30034000000.0
CJ제일제당,2017,사업보고서,남,0.0,0.0,257949000000.0
CJ제일제당,2017,사업보고서,여,0.0,0.0,68617000000.0
CS홀딩스,2016,반기보고서,남,0.0,0.0,64351000.0
CS홀딩스,2016,사업보고서,남,0.0,0.0,169531000.0
CS홀딩스,2017,반기보고서,남,0.0,0.0,81900.0
CS홀딩스,2017,사업보고서,남,0.0,0.0,196756000.0
DB,2016,반기보고서,남,0.0,0.0,10400322000.0
DB,2016,반기보고서,여,0.0,0.0,2136852000.0
DB,2016,사업보고서,남,0.0,0.0,19589579000.0
DB,2016,사업보고서,여,0.0,0.0,4006971000.0
DB,2017,반기보고서,남,0.0,0.0,9553778000.0
DB,2017,반기보고서,여,0.0,0.0,1839736000.0
DB,2017,사업보고서,남,0.0,0.0,18285886000.0
DB,2017,사업보고서,여,0.0,0.0,3510198000.0
DB손해보험,2016,반기보고서,남,0.0,0.0,100833869000.0
DB손해보험,2016,반기보고서,여,0.0,0.0,65806181000.0
DB손해보험,2016,사업보고서,남,0.0,0.0,176653917000.0
DB손해보험,2016,사업보고서,여,0.0,0.0,115212921000.0
DB손해보험,2017,반기보고서,남,0.0,0.0,107185010000.0
DB손해보험,2017,반기보고서,여,0.0,0.0,68576883000.0
DB손해보험,2017,사업보고서,남,0.0,0.0,183023879000.0
DB손해보험,2017,사업보고서,여,0.0,0.0,116626532000.0
DB증권,2016,반기보고서,남,0.0,0.0,37770000000.0
DB증권,2016,반기보고서,여,0.0,0.0,6868000000.0
DB증권,2016,사업보고서,남,0.0,0.0,67765000000.0
DB증권,2016,사업보고서,여,0.0,0.0,12603000000.0
DB증권,2017,반기보고서,남,0.0,0.0,30037000000.0
DB증권,2017,반기보고서,여,0.0,0.0,6087000000.0
DB증권,2017,사업보고서,남,0.0,0.0,57047000000.0
DB증권,2017,사업보고서,여,0.0,0.0,11912000000.0
DB하이텍,2016,반기보고서,남,0.0,0.0,35319000000.0
DB하이텍,2016,반기보고서,여,0.0,0.0,17533000000.0
DB하이텍,2016,사업보고서,남,0.0,0.0,72638000000.0
DB하이텍,2016,사업보고서,여,0.0,0.0,36594000000.0
DB하이텍,2017,반기보고서,남,0.0,0.0,36323000000.0
DB하이텍,2017,반기보고서,여,0.0,0.0,18675000000.0
DB하이텍,2017,사업보고서,남,0.0,0.0,70618000000.0
DB하이텍,2017,사업보고서,여,0.0,0.0,36982000000.0
DH오토넥스,2016,반기보고서,남,0.0,0.0,8608445000.0
DH오토넥스,2016,반기보고서,여,0.0,0.0,660223000.0
DH오토넥스,2016,사업보고서,남,0.0,0.0,2540376000.0
DH오토넥스,2016,사업보고서,여,0.0,0.0,157745000.0
DH오토넥스,2017,반기보고서,남,0.0,0.0,1880813000.0
DH오토넥스,2017,반기보고서,여,0.0,0.0,84791000.0
DH오토넥스,2017,사업보고서,남,0.0,0.0,3348765000.0
DH오토넥스,2017,사업보고서,여,0.0,0.0,139884000.0
DKME,2016,반기보고서,남,0.0,0.0,11429000000.0
DKME,2016,반기보고서,여,0.0,0.0,798000000.0
DKME,2016,사업보고서,남,0.0,0.0,23158000000.0
DKME,2016,사업보고서,여,0.0,0.0,1679000000.0
DKME,2017,반기보고서,남,0.0,0.0,10355000000.0
DKME,2017,반기보고서,여,0.0,0.0,704000000.0
DKME,2017,사업보고서,남,0.0,0.0,18005000000.0
DKME,2017,사업보고서,여,0.0,0.0,866000000.0
DL,2016,반기보고서,남,0.0,0.0,222764000000.0
DL,2016,반기보고서,여,0.0,0.0,9858000000.0
DL,2016,사업보고서,남,0.0,0.0,436815000000.0
DL,2016,사업보고서,여,0.0,0.0,19015000000.0
DL,2017,반기보고서,남,0.0,0.0,262102000000.0
DL,2017,반기보고서,여,0.0,0.0,20987000000.0
DL,2017,사업보고서,남,0.0,0.0,504679000000.0
DL,2017,사업보고서,여,0.0,0.0,41273000000.0
DN오토모티브,2016,반기보고서,남,0.0,0.0,14348086000.0
DN오토모티브,2016,반기보고서,여,0.0,0.0,2311908000.0
DN오토모티브,2016,사업보고서,남,0.0,0.0,31612945000.0
DN오토모티브,2016,사업보고서,여,0.0,0.0,5083621000.0
DN오토모티브,2017,반기보고서,남,0.0,0.0,14753567000.0
DN오토모티브,2017,반기보고서,여,0.0,0.0,2373309000.0
DN오토모티브,2017,사업보고서,남,0.0,0.0,9345700000.0
DN오토모티브,2017,사업보고서,여,0.0,0.0,236661000.0
DRB동일,2016,반기보고서,남,0.0,0.0,8408746063.0
DRB동일,2016,반기보고서,여,0.0,0.0,616256114.0
DRB동일,2016,사업보고서,남,0.0,0.0,19318155334.0
DRB동일,2016,사업보고서,여,0.0,0.0,1513622359.0
DRB동일,2017,반기보고서,남,0.0,0.0,9147323000.0
DRB동일,2017,반기보고서,여,0.0,0.0,760843000.0
DRB동일,2017,사업보고서,남,0.0,0.0,19259131000.0
DRB동일,2017,사업보고서,여,0.0,0.0,1602063000.0
DSR,2016,반기보고서,남,0.0,0.0,3549096000.0
DSR,2016,반기보고서,여,0.0,0.0,364379000.0
DSR,2016,사업보고서,남,0.0,0.0,7289597000.0
DSR,2016,사업보고서,여,0.0,0.0,770557000.0
DSR,2017,반기보고서,남,0.0,0.0,3965775000.0
DSR,2017,반기보고서,여,0.0,0.0,429786000.0
DSR,2017,사업보고서,남,0.0,0.0,8157097000.0
DSR,2017,사업보고서,여,0.0,0.0,844575000.0
DSR제강,2016,반기보고서,남,0.0,0.0,3000660000.0
DSR제강,2016,반기보고서,여,0.0,0.0,135311000.0
DSR제강,2016,사업보고서,남,0.0,0.0,6223016000.0
DSR제강,2016,사업보고서,여,0.0,0.0,315728000.0
DSR제강,2017,반기보고서,남,0.0,0.0,3237618000.0
DSR제강,2017,반기보고서,여,0.0,0.0,196754000.0
DSR제강,2017,사업보고서,남,0.0,0.0,6717679000.0
DSR제강,2017,사업보고서,여,0.0,0.0,405357000.0
E1,2016,반기보고서,남,0.0,0.0,8512000000.0
E1,2016,반기보고서,여,0.0,0.0,530000000.0
E1,2016,사업보고서,남,0.0,0.0,20165000000.0
E1,2016,사업보고서,여,0.0,0.0,1263000000.0
E1,2017,반기보고서,남,0.0,0.0,8561000000.0
E1,2017,반기보고서,여,0.0,0.0,384000000.0
E1,2017,사업보고서,남,0.0,0.0,22480000000.0
E1,2017,사업보고서,여,0.0,0.0,1525000000.0
F&F 홀딩스,2016,반기보고서,남,0.0,0.0,3336908000.0
F&F 홀딩스,2016,반기보고서,여,0.0,0.0,2977597000.0
F&F 홀딩스,2016,사업보고서,남,0.0,0.0,6566552000.0
F&F 홀딩스,2016,사업보고서,여,0.0,0.0,6313903000.0
F&F 홀딩스,2017,반기보고서,남,0.0,0.0,3240604000.0
F&F 홀딩스,2017,반기보고서,여,0.0,0.0,3745848000.0
F&F 홀딩스,2017,사업보고서,남,0.0,0.0,5792474000.0
F&F 홀딩스,2017,사업보고서,여,0.0,0.0,8130114000.0
GKL,2016,반기보고서,남,0.0,0.0,31226014000.0
GKL,2016,반기보고서,여,0.0,0.0,32049085000.0
GKL,2016,사업보고서,남,0.0,0.0,51620977.0
GKL,2016,사업보고서,여,0.0,0.0,52559934.0
GKL,2017,반기보고서,남,0.0,0.0,29532717000.0
GKL,2017,반기보고서,여,0.0,0.0,30070956000.0
GKL,2017,사업보고서,남,0.0,0.0,51580032000.0
GKL,2017,사업보고서,여,0.0,0.0,52931128000.0
GS,2016,반기보고서,남,0.0,0.0,988000000.0
GS,2016,반기보고서,여,0.0,0.0,227000000.0
GS,2016,사업보고서,남,0.0,0.0,1602000000.0
GS,2016,사업보고서,여,0.0,0.0,374000000.0
GS,2017,반기보고서,남,0.0,0.0,1055000000.0
GS,2017,반기보고서,여,0.0,0.0,269000000.0
GS,2017,사업보고서,남,0.0,0.0,1887000000.0
GS,2017,사업보고서,여,0.0,0.0,466000000.0
GS건설,2016,반기보고서,남,0.0,0.0,245733000000.0
GS건설,2016,반기보고서,여,0.0,0.0,12481000000.0
GS건설,2016,사업보고서,남,0.0,0.0,487201000000.0
GS건설,2016,사업보고서,여,0.0,0.0,24070000000.0
GS건설,2017,반기보고서,남,0.0,0.0,261765000000.0
GS건설,2017,반기보고서,여,0.0,0.0,16188000000.0
GS건설,2017,사업보고서,남,0.0,0.0,515993000000.0
GS건설,2017,사업보고서,여,0.0,0.0,31693000000.0
GS글로벌,2016,반기보고서,남,0.0,0.0,6651000000.0
GS글로벌,2016,반기보고서,여,0.0,0.0,939000000.0
GS글로벌,2016,사업보고서,남,0.0,0.0,13507000000.0
GS글로벌,2016,사업보고서,여,0.0,0.0,2006000000.0
GS글로벌,2017,반기보고서,남,0.0,0.0,7217000000.0
GS글로벌,2017,반기보고서,여,0.0,0.0,1023000000.0
GS글로벌,2017,사업보고서,남,0.0,0.0,14758000000.0
