기업명,연도,보고서유형,매출액,영업이익
종근당,2018,반기보고서,"455,878,470,395","36,880,287,068"
종근당,2018,사업보고서,"956,218,889,275","75,739,894,248"
종근당,2019,반기보고서,"500,569,740,578","34,142,583,337"
종근당,2019,사업보고서,"1,079,337,661,993","74,575,612,760"
신송홀딩스,2018,반기보고서,"109,301,248,265","-2,056,490,968"
신송홀딩스,2018,사업보고서,"163,341,579,807","-2,970,860,399"
신송홀딩스,2019,반기보고서,"123,998,528,506","-328,251,947"
신송홀딩스,2019,사업보고서,"263,013,506,964","-309,065,510"
아세아시멘트,2018,반기보고서,"406,073,827,492","17,152,710,994"
아세아시멘트,2018,사업보고서,"843,763,220,025","79,193,662,571"
아세아시멘트,2019,반기보고서,"411,639,841,126","32,959,620,411"
아세아시멘트,2019,사업보고서,"836,810,452,048","80,843,087,437"
현대로템,2018,반기보고서,"1,148,750,187,000","23,169,588,000"
현대로템,2018,사업보고서,"2,411,923,709,000","-196,166,583,000"
현대로템,2019,반기보고서,"1,222,104,418,000","-37,128,137,000"
현대로템,2019,사업보고서,"2,459,346,162,000","-279,932,221,000"
한진칼,2018,반기보고서,"650,637,190,863","83,853,353,803"
한진칼,2018,사업보고서,"1,304,892,514,563","108,792,138,047"
한진칼,2019,반기보고서,"645,345,971,186","44,349,931,635"
한진칼,2019,사업보고서,"1,203,497,716,660","-3,881,273,804"
NHN,2018,반기보고서,"557,377,624,078","30,273,571,023"
NHN,2018,사업보고서,"1,264,567,758,330","68,637,421,201"
NHN,2019,반기보고서,"736,781,916,501","47,170,142,146"
NHN,2019,사업보고서,"1,488,596,660,564","86,677,182,906"
DSR,2018,반기보고서,"117,554,621,092","4,680,789,038"
DSR,2018,사업보고서,"236,022,374,628","9,905,832,148"
DSR,2019,반기보고서,"118,341,462,777","5,113,947,110"
DSR,2019,사업보고서,"236,324,122,853","10,659,340,231"
동아에스티,2018,반기보고서,"288,308,683,536","30,791,634,739"
동아에스티,2018,사업보고서,"567,433,760,856","39,435,371,795"
동아에스티,2019,반기보고서,"294,316,742,691","30,314,344,733"
동아에스티,2019,사업보고서,"612,310,601,834","56,561,533,159"
지엠비코리아,2018,반기보고서,"224,231,862,020","1,355,937,860"
지엠비코리아,2018,사업보고서,"457,196,868,534","4,123,028,098"
지엠비코리아,2019,반기보고서,"228,515,317,690","2,958,648,629"
지엠비코리아,2019,사업보고서,"477,535,110,323","8,509,762,334"
LG헬로비전,2018,반기보고서,"577,797,948,675","28,844,672,770"
LG헬로비전,2018,사업보고서,"1,178,041,257,956","68,004,595,239"
LG헬로비전,2019,반기보고서,"560,985,018,578","22,620,474,774"
LG헬로비전,2019,사업보고서,"1,112,180,458,963","29,249,461,527"
동일고무벨트,2018,반기보고서,"129,877,764,679","4,724,976,143"
동일고무벨트,2018,사업보고서,"262,958,904,457","12,106,642,183"
동일고무벨트,2019,반기보고서,"123,340,591,555","7,193,315,624"
동일고무벨트,2019,사업보고서,"261,909,973,472","14,446,980,316"
