종목코드,기업명,성별,사업부문,정규직,계약직,직원합,총급여,연도,보고서유형
00992871,종근당,남,-,-,-,"1,499","45,692,000,000",2018,반기보고서
00992871,종근당,여,-,-,-,570,"14,797,000,000",2018,반기보고서
00992871,종근당,남,-,-,-,"1,492","94,428,000,000",2018,사업보고서
00992871,종근당,여,-,-,-,608,"31,221,000,000",2018,사업보고서
00992871,종근당,남,-,-,-,"1,584","55,607,000,000",2019,반기보고서
00992871,종근당,여,-,-,-,655,"17,219,000,000",2019,반기보고서
00992871,종근당,남,-,-,-,"1,581","119,615,000,000",2019,사업보고서
00992871,종근당,여,-,-,-,662,"37,386,000,000",2019,사업보고서
00136402,신송홀딩스,남,경영지원,-,-,9,"241,000,000",2018,반기보고서
00136402,신송홀딩스,여,경영지원,-,-,1,"15,000,000",2018,반기보고서
00136402,신송홀딩스,남,경영지원,-,-,8,"448,000,000",2018,사업보고서
00136402,신송홀딩스,여,경영지원,-,-,1,"30,000,000",2018,사업보고서
00136402,신송홀딩스,남,경영지원,-,-,9,"216,000,000",2019,반기보고서
00136402,신송홀딩스,여,경영지원,-,-,1,"16,000,000",2019,반기보고서
00136402,신송홀딩스,남,홀딩스,-,-,10,"465,000,000",2019,사업보고서
00136402,신송홀딩스,여,홀딩스,-,-,1,"34,000,000",2019,사업보고서
00990165,아세아시멘트,남,시멘트,-,-,459,"14,527,957,000",2018,반기보고서
00990165,아세아시멘트,여,시멘트,-,-,22,"387,062,000",2018,반기보고서
00990165,아세아시멘트,남,시멘트부분,-,-,465,"33,210,793,000",2018,사업보고서
00990165,아세아시멘트,여,시멘트부분,-,-,22,"856,843,000",2018,사업보고서
00990165,아세아시멘트,남,시멘트부문,-,-,458,"16,665,408,847",2019,반기보고서
00990165,아세아시멘트,여,시멘트부문,-,-,23,"479,155,113",2019,반기보고서
00990165,아세아시멘트,남,시멘트부문,-,-,457,"35,412,000,000",2019,사업보고서
00990165,아세아시멘트,여,시멘트부문,-,-,23,"953,000,000",2019,사업보고서
00302926,현대로템,남,공통부문,-,-,400,"14,167,000,000",2018,반기보고서
00302926,현대로템,여,공통부문,-,-,29,"522,000,000",2018,반기보고서
00302926,현대로템,남,철도부문,-,-,"1,653","58,793,000,000",2018,반기보고서
00302926,현대로템,여,철도부문,-,-,31,"693,000,000",2018,반기보고서
00302926,현대로템,남,방산부문,-,-,895,"32,812,000,000",2018,반기보고서
00302926,현대로템,여,방산부문,-,-,11,"356,000,000",2018,반기보고서
00302926,현대로템,남,플랜트부문,-,-,479,"16,947,000,000",2018,반기보고서
00302926,현대로템,여,플랜트부문,-,-,6,"122,000,000",2018,반기보고서
00302926,현대로템,남, 공통부문 ,-,-,423,"36,239,000,000",2018,사업보고서
00302926,현대로템,여,공통부문,-,-,28,"1,282,000,000",2018,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,746","149,875,000,000",2018,사업보고서
00302926,현대로템,여,철도부문,-,-,31,"1,775,000,000",2018,사업보고서
00302926,현대로템,남,방산부문,-,-,903,"81,255,000,000",2018,사업보고서
00302926,현대로템,여,방산부문,-,-,12,"879,000,000",2018,사업보고서
00302926,현대로템,남, 플랜트부문,-,-,467,"39,811,000,000",2018,사업보고서
00302926,현대로템,여, 플랜트부문,-,-,6,"311,000,000",2018,사업보고서
00302926,현대로템,남,공통부문 ,-,-,396,"16,236,000,000",2019,반기보고서
00302926,현대로템,여,공통부문,-,-,31,"606,000,000",2019,반기보고서
00302926,현대로템,남,철도부문,-,-,"1,723","65,274,000,000",2019,반기보고서
00302926,현대로템,여,철도부문,-,-,32,"841,000,000",2019,반기보고서
00302926,현대로템,남,방산부문,-,-,873,"33,276,000,000",2019,반기보고서
00302926,현대로템,여,방산부문,-,-,12,"423,000,000",2019,반기보고서
00302926,현대로템,남,플랜트부문,-,-,424,"16,159,000,000",2019,반기보고서
00302926,현대로템,여,플랜트부문,-,-,5,"127,000,000",2019,반기보고서
00302926,현대로템,남,공통부문,-,-,393,"34,270,000,000",2019,사업보고서
00302926,현대로템,여,공통부문,-,-,30,"1,448,000,000",2019,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,776","151,254,000,000",2019,사업보고서
00302926,현대로템,여,철도부문,-,-,37,"2,071,000,000",2019,사업보고서
00302926,현대로템,남,방산부문,-,-,899,"78,567,000,000",2019,사업보고서
00302926,현대로템,여,방산부문,-,-,13,"1,011,000,000",2019,사업보고서
00302926,현대로템,남,플랜트부문,-,-,407,"34,469,000,000",2019,사업보고서
00302926,현대로템,여,플랜트부문,-,-,6,"312,000,000",2019,사업보고서
00983040,한진칼,남,지주부문,-,-,26,"1,034,236,972",2018,반기보고서
00983040,한진칼,여,지주부문,-,-,3,"96,302,040",2018,반기보고서
00983040,한진칼,남,지주부문,-,-,28,"2,502,299,265",2018,사업보고서
00983040,한진칼,여,지주부문,-,-,3,"187,709,282",2018,사업보고서
00983040,한진칼,남,지주부문,-,-,27,"1,354,470,655",2019,반기보고서
00983040,한진칼,여,지주부문,-,-,5,"144,519,219",2019,반기보고서
00983040,한진칼,남,지주부문,-,-,27,"2,035,000,000",2019,사업보고서
00983040,한진칼,여,지주부문,-,-,6,"425,000,000",2019,사업보고서
00983271,NHN,남,전사,-,-,570,"19,058,862,000",2018,반기보고서
00983271,NHN,여,전사,-,-,284,"7,706,239,000",2018,반기보고서
00983271,NHN,남,전사,-,-,632,"42,213,322,000",2018,사업보고서
00983271,NHN,여,전사,-,-,310,"16,865,038,000",2018,사업보고서
00983271,NHN,남,전사,-,-,630,"24,197,271,000",2019,반기보고서
00983271,NHN,여,전사,-,-,332,"9,823,017,000",2019,반기보고서
00983271,NHN,남,전사,-,-,627,"47,753,882,000",2019,사업보고서
00983271,NHN,여,전사,-,-,320,"19,269,617,000",2019,사업보고서
00980122,JB금융지주,남,금융업,-,-,77,"3,173,000,000",2018,반기보고서
00980122,JB금융지주,여,금융업,-,-,24,"693,000,000",2018,반기보고서
00980122,JB금융지주,남,금융업,-,-,84,"8,120,000,000",2018,사업보고서
00980122,JB금융지주,여,금융업,-,-,26,"1,725,000,000",2018,사업보고서
00980122,JB금융지주,남,금융업,-,-,63,"2,548,000,000",2019,반기보고서
00980122,JB금융지주,여,금융업,-,-,15,"431,000,000",2019,반기보고서
00980122,JB금융지주,남,금융업,-,-,68,"6,483,000,000",2019,사업보고서
00980122,JB금융지주,여,금융업,-,-,13,"963,000,000",2019,사업보고서
00110608,DSR,남,전체,-,-,146,"4,095,501,000",2018,반기보고서
00110608,DSR,여,전체,-,-,25,"424,806,000",2018,반기보고서
00110608,DSR,남,전체,-,-,148,"7,624,561,000",2018,사업보고서
00110608,DSR,여,전체,-,-,28,"780,804,000",2018,사업보고서
00110608,DSR,남,전체,-,-,149,"4,085,724,000",2019,반기보고서
00110608,DSR,여,전체,-,-,24,"435,184,000",2019,반기보고서
00110608,DSR,남,전체,-,-,150,"10,082,796,000",2019,사업보고서
00110608,DSR,여,전체,-,-,24,"895,513,000",2019,사업보고서
00956930,동아에스티,남,제약,-,-,"1,112","42,987,000,000",2018,반기보고서
00956930,동아에스티,여,제약,-,-,418,"10,760,000,000",2018,반기보고서
00956930,동아에스티,남,제약,-,-,"1,114","79,185,000,000",2018,사업보고서
00956930,동아에스티,여,제약,-,-,419,"19,956,000,000",2018,사업보고서
00956930,동아에스티,남,제약,-,-,"1,111","44,508,000,000",2019,반기보고서
00956930,동아에스티,여,제약,-,-,420,"10,662,000,000",2019,반기보고서
00956930,동아에스티,남,제약,-,-,"1,147","80,249,000,000",2019,사업보고서
00956930,동아에스티,여,제약,-,-,445,"19,941,000,000",2019,사업보고서
00156354,지엠비코리아,남,자동차부품,-,-,645,"23,988,607,000",2018,반기보고서
00156354,지엠비코리아,여,자동차부품,-,-,56,"1,771,695,000",2018,반기보고서
00156354,지엠비코리아,남,자동차부품,-,-,643,"47,335,469,000",2018,사업보고서
00156354,지엠비코리아,여,자동차부품,-,-,55,"3,535,619,000",2018,사업보고서
00156354,지엠비코리아,남,자동차부품,-,-,597,"23,278,263,000",2019,반기보고서
00156354,지엠비코리아,여,자동차부품,-,-,55,"1,762,781,000",2019,반기보고서
00156354,지엠비코리아,남,자동차부품,-,-,599,"44,980,245,000",2019,사업보고서
00156354,지엠비코리아,여,자동차부품,-,-,49,"2,961,031,000",2019,사업보고서
00222532,LG헬로비전,남,영업,-,-,262,"8,419,037,000",2018,반기보고서
00222532,LG헬로비전,여,기타,-,-,107,"2,369,690,000",2018,반기보고서
00222532,LG헬로비전,여,영업,-,-,66,"1,463,609,000",2018,반기보고서
00222532,LG헬로비전,남,기술,-,-,273,"7,732,998,000",2018,반기보고서
00222532,LG헬로비전,여,기술,-,-,25,"551,390,000",2018,반기보고서
00222532,LG헬로비전,남,보도제작,-,-,144,"3,135,761,000",2018,반기보고서
00222532,LG헬로비전,여,보도제작,-,-,80,"1,528,168,000",2018,반기보고서
00222532,LG헬로비전,남,신사업,-,-,134,"4,563,701,000",2018,반기보고서
00222532,LG헬로비전,여,신사업,-,-,52,"1,112,492,000",2018,반기보고서
00222532,LG헬로비전,남,기타,-,-,93,"4,099,184,000",2018,반기보고서
00222532,LG헬로비전,남,기술,-,-,276,"16,708,856,000",2018,사업보고서
