기업명,연도,보고서유형,성별,정규직,계약직,총급여
AK홀딩스,2018,반기보고서,남,0.0,0.0,800000000.0
AK홀딩스,2018,반기보고서,여,0.0,0.0,169000000.0
AK홀딩스,2018,사업보고서,남,0.0,0.0,1667000000.0
AK홀딩스,2018,사업보고서,여,0.0,0.0,146000000.0
AK홀딩스,2019,반기보고서,남,0.0,0.0,524000000.0
AK홀딩스,2019,반기보고서,여,0.0,0.0,86000000.0
AK홀딩스,2019,사업보고서,남,0.0,0.0,1103000000.0
AK홀딩스,2019,사업보고서,여,0.0,0.0,199000000.0
BNK금융지주,2018,반기보고서,남,0.0,0.0,5722000000.0
BNK금융지주,2018,반기보고서,여,0.0,0.0,640000000.0
BNK금융지주,2018,사업보고서,남,0.0,0.0,14685000000.0
BNK금융지주,2018,사업보고서,여,0.0,0.0,1243000000.0
BNK금융지주,2019,반기보고서,남,0.0,0.0,8181000000.0
BNK금융지주,2019,반기보고서,여,0.0,0.0,694000000.0
BNK금융지주,2019,사업보고서,남,0.0,0.0,12567000000.0
BNK금융지주,2019,사업보고서,여,0.0,0.0,629000000.0
BYC,2018,반기보고서,남,0.0,0.0,6489782000.0
BYC,2018,반기보고서,여,0.0,0.0,4577830000.0
BYC,2018,사업보고서,남,0.0,0.0,13379186000.0
BYC,2018,사업보고서,여,0.0,0.0,9204216000.0
BYC,2019,반기보고서,남,0.0,0.0,6084374000.0
BYC,2019,반기보고서,여,0.0,0.0,4347933000.0
BYC,2019,사업보고서,남,0.0,0.0,12717308000.0
BYC,2019,사업보고서,여,0.0,0.0,9114465000.0
CJ,2018,반기보고서,남,0.0,0.0,842000000.0
CJ,2018,반기보고서,여,0.0,0.0,456000000.0
CJ,2018,사업보고서,남,0.0,0.0,18494000000.0
CJ,2018,사업보고서,여,0.0,0.0,3838000000.0
CJ,2019,반기보고서,남,0.0,0.0,6910000000.0
CJ,2019,반기보고서,여,0.0,0.0,1082000000.0
CJ,2019,사업보고서,남,0.0,0.0,20908000000.0
CJ,2019,사업보고서,여,0.0,0.0,3271000000.0
CJ CGV,2018,반기보고서,남,0.0,0.0,18963000000.0
CJ CGV,2018,반기보고서,여,0.0,0.0,15505000000.0
CJ CGV,2018,사업보고서,남,0.0,0.0,40656000000.0
CJ CGV,2018,사업보고서,여,0.0,0.0,31607000000.0
CJ CGV,2019,반기보고서,남,0.0,0.0,19245000000.0
CJ CGV,2019,반기보고서,여,0.0,0.0,16113000000.0
CJ CGV,2019,사업보고서,남,0.0,0.0,36390000000.0
CJ CGV,2019,사업보고서,여,0.0,0.0,31082000000.0
CJ대한통운,2018,반기보고서,남,0.0,0.0,159884727000.0
CJ대한통운,2018,반기보고서,여,0.0,0.0,18443352000.0
CJ대한통운,2018,사업보고서,남,0.0,0.0,321698883000.0
CJ대한통운,2018,사업보고서,여,0.0,0.0,37180803000.0
CJ대한통운,2019,반기보고서,남,0.0,0.0,162633173000.0
CJ대한통운,2019,반기보고서,여,0.0,0.0,19579890000.0
