종목코드,기업명,성별,사업부문,정규직,계약직,직원합,총급여,연도,보고서유형
00992871,종근당,남,-,-,-,"1,619","57,723,000,000",2020,반기보고서
00992871,종근당,여,-,-,-,678,"19,451,000,000",2020,반기보고서
00992871,종근당,남,-,-,-,"1,593","117,257,000,000",2020,사업보고서
00992871,종근당,여,-,-,-,677,"39,965,000,000",2020,사업보고서
00992871,종근당,남,-,-,-,"1,619","60,510,000,000",2021,반기보고서
00992871,종근당,여,-,-,-,698,"21,507,000,000",2021,반기보고서
00992871,종근당,남,-,-,-,"1,688","125,306,000,000",2021,사업보고서
00992871,종근당,여,-,-,-,748,"43,565,000,000",2021,사업보고서
00136402,신송홀딩스,남,홀딩스,-,-,9,"310,000,000",2020,반기보고서
00136402,신송홀딩스,여,홀딩스,-,-,1,"19,000,000",2020,반기보고서
00136402,신송홀딩스,남,홀딩스,-,-,10,"554,000,000",2020,사업보고서
00136402,신송홀딩스,여,홀딩스,-,-,1,"36,000,000",2020,사업보고서
00136402,신송홀딩스,남,홀딩스,-,-,10,"326,000,000",2021,반기보고서
00136402,신송홀딩스,여,홀딩스,-,-,1,"19,000,000",2021,반기보고서
00136402,신송홀딩스,남,홀딩스,-,-,10,"673,000,000",2021,사업보고서
00136402,신송홀딩스,여,홀딩스,-,-,1,"40,000,000",2021,사업보고서
00990165,아세아시멘트,남,시멘트부분,-,-,460,"16,674,387,000",2020,반기보고서
00990165,아세아시멘트,여,시멘트부분,-,-,22,"4,176,940,000",2020,반기보고서
00990165,아세아시멘트,남,시멘트,-,-,463,"37,389,175,000",2020,사업보고서
00990165,아세아시멘트,여,시멘트,-,-,23,"945,484,000",2020,사업보고서
00990165,아세아시멘트,남,시멘트,-,-,456,"16,461,533,000",2021,반기보고서
00990165,아세아시멘트,여,시멘트,-,-,24,"437,766,000",2021,반기보고서
00990165,아세아시멘트,남,시멘트,-,-,463,"39,968,066,000",2021,사업보고서
00990165,아세아시멘트,남,시멘트,-,-,22,"974,514,000",2021,사업보고서
00302926,현대로템,남,공통부문,-,-,359,"13,612,000,000",2020,반기보고서
00302926,현대로템,여,공통부문,-,-,30,"579,000,000",2020,반기보고서
00302926,현대로템,남,철도부문,-,-,"1,688","61,453,000,000",2020,반기보고서
00302926,현대로템,여,철도부문,-,-,37,"949,000,000",2020,반기보고서
00302926,현대로템,남,방산부문,-,-,861,"32,328,000,000",2020,반기보고서
00302926,현대로템,여,방산부문,-,-,14,"483,000,000",2020,반기보고서
00302926,현대로템,남,플랜트부문,-,-,363,"13,737,000,000",2020,반기보고서
00302926,현대로템,여,플랜트부문,-,-,3,"104,000,000",2020,반기보고서
00302926,현대로템,남,공통부문,-,-,361,"32,681,000,000",2020,사업보고서
00302926,현대로템,여,공통부문,-,-,30,"1,342,000,000",2020,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,731","146,821,000,000",2020,사업보고서
00302926,현대로템,여,철도부문,-,-,45,"2,408,000,000",2020,사업보고서
00302926,현대로템,남,방산부문,-,-,874,"77,590,000,000",2020,사업보고서
00302926,현대로템,여,방산부문,-,-,15,"1,158,000,000",2020,사업보고서
00302926,현대로템,남,플랜트부문,-,-,358,"31,784,000,000",2020,사업보고서
00302926,현대로템,여,플랜트부문,-,-,3,"238,000,000",2020,사업보고서
00302926,현대로템,남,공통부문,-,-,372,"14,731,000,000",2021,반기보고서
00302926,현대로템,여,공통부문,-,-,32,"680,000,000",2021,반기보고서
00302926,현대로템,남,철도부문,-,-,"1,709","64,213,000,000",2021,반기보고서
00302926,현대로템,여,철도부문,-,-,43,"1,066,000,000",2021,반기보고서
00302926,현대로템,남,방산부문,-,-,890,"34,164,000,000",2021,반기보고서
00302926,현대로템,여,방산부문,-,-,13,"438,000,000",2021,반기보고서
00302926,현대로템,남,플랜트부문,-,-,335,"13,497,000,000",2021,반기보고서
00302926,현대로템,여,플랜트부문,-,-,3,"86,000,000",2021,반기보고서
00302926,현대로템,남,공통부문,-,-,381,"35,415,000,000",2021,사업보고서
00302926,현대로템,여,공통부문,-,-,32,"1,679,000,000",2021,사업보고서
00302926,현대로템,남,철도부문,-,-,"1,740","156,306,000,000",2021,사업보고서
00302926,현대로템,여,철도부문,-,-,43,"2,623,000,000",2021,사업보고서
00302926,현대로템,남,방산부문,-,-,901,"83,381,000,000",2021,사업보고서
00302926,현대로템,여,방산부문,-,-,13,"1,104,000,000",2021,사업보고서
00302926,현대로템,남,플랜트부문,-,-,330,"31,590,000,000",2021,사업보고서
00302926,현대로템,여,플랜트부문,-,-,4,"237,000,000",2021,사업보고서
00983040,한진칼,남,지주사업,-,-,26,"1,227,000,000",2020,반기보고서
00983040,한진칼,여,지주사업,-,-,6,"301,000,000",2020,반기보고서
00983040,한진칼,남,지주사업,-,-,25,"2,241,000,000",2020,사업보고서
00983040,한진칼,여,지주사업,-,-,5,"565,000,000",2020,사업보고서
00983040,한진칼,남,지주사업,-,-,25,"1,285,000,000",2021,반기보고서
