기업명,연도,보고서유형,매출액,영업이익
종근당,2020,반기보고서,"607,388,283,767","62,228,594,353"
종근당,2020,사업보고서,"1,303,005,524,392","123,935,878,850"
종근당,2021,반기보고서,"639,448,841,178","53,518,002,757"
종근당,2021,사업보고서,"1,343,559,362,914","94,758,694,014"
신송홀딩스,2020,반기보고서,"110,949,309,106","3,133,287,436"
신송홀딩스,2020,사업보고서,"205,881,740,065","5,152,838,429"
신송홀딩스,2021,반기보고서,"98,618,515,683","3,272,279,348"
신송홀딩스,2021,사업보고서,"186,444,266,263","6,867,678,554"
아세아시멘트,2020,반기보고서,"384,507,800,636","20,155,176,316"
아세아시멘트,2020,사업보고서,"787,547,395,550","75,305,385,497"
아세아시멘트,2021,반기보고서,"383,620,528,032","41,492,905,029"
아세아시멘트,2021,사업보고서,"892,569,417,094","128,646,922,022"
현대로템,2020,반기보고서,"1,327,089,672,000","37,261,397,000"
현대로템,2020,사업보고서,"2,785,326,054,000","82,061,321,000"
현대로템,2021,반기보고서,"1,364,126,297,000","41,565,506,000"
현대로템,2021,사업보고서,"2,872,511,952,000","80,217,965,000"
한진칼,2020,반기보고서,"241,909,932,197","-106,407,177,472"
한진칼,2020,사업보고서,"408,827,146,481","-221,140,549,162"
한진칼,2021,반기보고서,"175,666,560,015","-115,204,548,557"
한진칼,2021,사업보고서,"395,278,013,105","-195,175,723,509"
NHN,2020,반기보고서,"799,729,356,261","54,743,130,606"
NHN,2020,사업보고서,"1,675,172,074,936","102,193,457,994"
NHN,2021,반기보고서,"921,563,355,167","52,971,125,975"
NHN,2021,사업보고서,"1,923,677,420,336","97,869,201,232"
DSR,2020,반기보고서,"118,642,349,093","6,941,799,388"
DSR,2020,사업보고서,"230,979,854,250","12,075,679,671"
DSR,2021,반기보고서,"132,385,917,141","7,887,962,819"
DSR,2021,사업보고서,"272,417,651,710","13,454,431,587"
동아에스티,2020,반기보고서,"312,914,650,256","43,572,639,125"
동아에스티,2020,사업보고서,"586,728,126,970","33,994,186,444"
동아에스티,2021,반기보고서,"288,441,113,645","8,788,760,197"
동아에스티,2021,사업보고서,"593,227,915,741","15,618,958,260"
지엠비코리아,2020,반기보고서,"200,949,764,243","-8,329,936,531"
지엠비코리아,2020,사업보고서,"445,770,428,749","-9,655,812,327"
지엠비코리아,2021,반기보고서,"260,526,857,979","2,677,731,023"
지엠비코리아,2021,사업보고서,"531,332,180,542","8,377,508,126"
LG헬로비전,2020,반기보고서,"528,969,561,376","16,967,593,299"
LG헬로비전,2020,사업보고서,"1,057,934,695,627","34,150,119,189"
LG헬로비전,2021,반기보고서,"529,192,367,253","20,487,648,484"
LG헬로비전,2021,사업보고서,"1,080,132,280,928","44,492,025,603"
동일고무벨트,2020,반기보고서,"119,362,054,290","10,981,747,846"
동일고무벨트,2020,사업보고서,"243,181,801,709","14,785,070,901"
동일고무벨트,2021,반기보고서,"140,187,672,649","3,991,583,670"
동일고무벨트,2021,사업보고서,"277,512,533,269","871,568,800"
한국콜마,2020,반기보고서,"655,502,596,518","50,823,834,115"
한국콜마,2020,사업보고서,"1,322,081,317,656","121,679,126,846"
한국콜마,2021,반기보고서,"808,071,255,955","45,569,047,954"
한국콜마,2021,사업보고서,"1,586,332,710,248","84,267,552,991"
한국타이어앤테크놀로지,2020,반기보고서,"2,800,177,886,020","176,076,690,130"
한국타이어앤테크놀로지,2020,사업보고서,"6,453,071,785,362","628,270,555,481"
한국타이어앤테크놀로지,2021,반기보고서,"3,423,196,281,612","373,052,159,720"
한국타이어앤테크놀로지,2021,사업보고서,"7,141,136,827,775","642,192,906,442"
애경케미칼,2020,반기보고서,"416,963,517,565","24,472,882,235"
애경케미칼,2020,사업보고서,"908,851,885,228","57,487,296,055"
애경케미칼,2021,반기보고서,"708,085,682,555","61,562,822,626"
애경케미칼,2021,사업보고서,"1,570,089,788,220","93,260,474,911"
사조씨푸드,2020,반기보고서,"114,230,542,890","4,943,006,890"
사조씨푸드,2020,사업보고서,"214,456,964,392","10,784,110,993"
사조씨푸드,2021,반기보고서,"87,090,010,261","6,886,675,551"
사조씨푸드,2021,사업보고서,"174,614,930,293","14,004,313,349"
휴비스,2020,반기보고서,"423,876,213,411","21,367,255,651"
휴비스,2020,사업보고서,"920,303,309,155","39,869,748,147"
휴비스,2021,반기보고서,"521,313,899,458","19,743,355,532"
휴비스,2021,사업보고서,"1,082,571,526,935","6,490,560,612"
케이탑리츠,2020,반기보고서,"5,787,107,571","3,661,895,329"
케이탑리츠,2020,사업보고서,"21,189,661,299","16,985,674,061"
케이탑리츠,2021,반기보고서,"6,254,585,760","3,948,828,088"
케이탑리츠,2021,사업보고서,"31,950,264,577","17,971,670,570"
GS리테일,2020,반기보고서,"4,352,606,225,441","147,925,230,121"
GS리테일,2020,사업보고서,"8,862,318,939,407","252,567,215,539"
GS리테일,2021,반기보고서,"4,385,714,113,635","80,324,991,907"
GS리테일,2021,사업보고서,"9,765,695,333,837","208,469,084,873"
인터지스,2020,반기보고서,"225,867,688,331","1,843,514,439"
인터지스,2020,사업보고서,"458,316,826,326","7,656,359,253"
인터지스,2021,반기보고서,"262,937,611,018","7,581,069,123"
인터지스,2021,사업보고서,"588,882,039,942","19,994,089,933"
삼양사,2020,반기보고서,"989,189,000,000","53,884,000,000"
삼양사,2020,사업보고서,"2,051,767,000,000","111,573,000,000"
삼양사,2021,반기보고서,"1,145,021,000,000","65,014,000,000"
삼양사,2021,사업보고서,"2,384,454,000,000","82,553,000,000"
하나투어,2020,반기보고서,"120,064,994,034","-79,340,959,272"
하나투어,2020,사업보고서,"109,571,614,320","-114,866,698,486"
하나투어,2021,반기보고서,"15,851,254,732","-65,598,126,452"
하나투어,2021,사업보고서,"40,258,281,909","-127,293,510,463"
에이블씨엔씨,2020,반기보고서,"161,194,857,428","-22,397,150,466"
에이블씨엔씨,2020,사업보고서,"307,517,402,206","-67,995,501,905"
에이블씨엔씨,2021,반기보고서,"142,433,650,305","-12,035,705,226"
에이블씨엔씨,2021,사업보고서,"262,945,930,671","-22,379,323,056"
삼원강재,2020,반기보고서,"107,833,879,077","4,567,333,901"
삼원강재,2020,사업보고서,"245,989,278,870","9,992,552,171"
삼원강재,2021,반기보고서,"151,757,070,241","4,726,178,603"
삼원강재,2021,사업보고서,"299,952,544,414","9,549,369,585"
신세계인터내셔날,2020,반기보고서,"610,549,885,750","9,412,150,979"
신세계인터내셔날,2020,사업보고서,"1,325,499,683,994","33,764,331,574"
신세계인터내셔날,2021,반기보고서,"682,635,052,047","47,785,375,179"
신세계인터내셔날,2021,사업보고서,"1,450,778,572,821","91,971,396,487"
에이리츠,2020,반기보고서,"38,617,357,520","7,910,495,090"
에이리츠,2020,사업보고서,"53,496,484,424","8,618,910,718"
에이리츠,2021,반기보고서,"6,917,801,770","5,757,975,039"
에이리츠,2021,사업보고서,"7,309,518,772","4,584,207,873"
한국항공우주,2020,반기보고서,"1,548,834,631,007","127,350,870,419"
한국항공우주,2020,사업보고서,"2,825,136,012,824","139,524,243,361"
한국항공우주,2021,반기보고서,"1,320,281,899,560","68,388,889,900"
한국항공우주,2021,사업보고서,"2,562,283,675,152","58,259,436,460"
롯데하이마트,2020,반기보고서,"2,041,041,765,407","88,781,814,914"
롯데하이마트,2020,사업보고서,"4,051,729,086,177","161,075,922,510"
롯데하이마트,2021,반기보고서,"1,943,969,198,833","58,795,517,882"
