기업명,연도,보고서유형,성별,정규직,계약직,총급여
AK홀딩스,2020,반기보고서,남,0.0,0.0,709000000.0
AK홀딩스,2020,반기보고서,여,0.0,0.0,184000000.0
AK홀딩스,2020,사업보고서,남,0.0,0.0,1518000000.0
AK홀딩스,2020,사업보고서,여,0.0,0.0,376000000.0
AK홀딩스,2021,반기보고서,남,0.0,0.0,840000000.0
AK홀딩스,2021,반기보고서,여,0.0,0.0,223000000.0
AK홀딩스,2021,사업보고서,남,0.0,0.0,1710000000.0
AK홀딩스,2021,사업보고서,여,0.0,0.0,319000000.0
BNK금융지주,2020,반기보고서,남,0.0,0.0,7566000000.0
BNK금융지주,2020,반기보고서,여,0.0,0.0,366000000.0
BNK금융지주,2020,사업보고서,남,0.0,0.0,14177000000.0
BNK금융지주,2020,사업보고서,여,0.0,0.0,726000000.0
BNK금융지주,2021,반기보고서,남,0.0,0.0,9257000000.0
BNK금융지주,2021,반기보고서,여,0.0,0.0,393000000.0
BNK금융지주,2021,사업보고서,남,0.0,0.0,16719000000.0
BNK금융지주,2021,사업보고서,여,0.0,0.0,885000000.0
BYC,2020,반기보고서,남,0.0,0.0,6359886000.0
BYC,2020,반기보고서,여,0.0,0.0,4422095000.0
BYC,2020,사업보고서,남,0.0,0.0,12701143000.0
BYC,2020,사업보고서,여,0.0,0.0,8875704000.0
BYC,2021,반기보고서,남,0.0,0.0,5970938000.0
BYC,2021,반기보고서,여,0.0,0.0,4022939000.0
BYC,2021,사업보고서,남,0.0,0.0,12136083000.0
BYC,2021,사업보고서,여,0.0,0.0,8353504000.0
CJ,2020,반기보고서,남,0.0,0.0,6869000000.0
CJ,2020,반기보고서,여,0.0,0.0,1015000000.0
CJ,2020,사업보고서,남,0.0,0.0,22695000000.0
CJ,2020,사업보고서,여,0.0,0.0,3491000000.0
CJ,2021,반기보고서,남,0.0,0.0,6464000000.0
CJ,2021,반기보고서,여,0.0,0.0,1154000000.0
CJ,2021,사업보고서,남,0.0,0.0,26698000000.0
CJ,2021,사업보고서,여,0.0,0.0,4606000000.0
CJ CGV,2020,반기보고서,남,0.0,0.0,16587000000.0
CJ CGV,2020,반기보고서,여,0.0,0.0,15193000000.0
CJ CGV,2020,사업보고서,남,0.0,0.0,30864000000.0
CJ CGV,2020,사업보고서,여,0.0,0.0,27333000000.0
CJ CGV,2021,반기보고서,남,0.0,0.0,13805000000.0
CJ CGV,2021,반기보고서,여,0.0,0.0,12596000000.0
CJ CGV,2021,사업보고서,남,0.0,0.0,29883000000.0
CJ CGV,2021,사업보고서,여,0.0,0.0,26068000000.0
CJ대한통운,2020,반기보고서,남,0.0,0.0,155712000000.0
CJ대한통운,2020,반기보고서,여,0.0,0.0,20405000000.0
CJ대한통운,2020,사업보고서,남,0.0,0.0,364061000000.0
CJ대한통운,2020,사업보고서,여,0.0,0.0,44405000000.0
CJ대한통운,2021,반기보고서,남,0.0,0.0,147659000000.0
CJ대한통운,2021,반기보고서,여,0.0,0.0,19496000000.0
CJ대한통운,2021,사업보고서,남,0.0,0.0,404583000000.0
CJ대한통운,2021,사업보고서,여,0.0,0.0,50926000000.0
CJ씨푸드,2020,반기보고서,남,0.0,0.0,5274000000.0
CJ씨푸드,2020,반기보고서,여,0.0,0.0,3560000000.0
CJ씨푸드,2020,사업보고서,남,0.0,0.0,12052000000.0
CJ씨푸드,2020,사업보고서,여,0.0,0.0,7834000000.0
CJ씨푸드,2021,반기보고서,남,0.0,0.0,5638000000.0
CJ씨푸드,2021,반기보고서,여,0.0,0.0,3885000000.0
CJ씨푸드,2021,사업보고서,남,0.0,0.0,12321000000.0
CJ씨푸드,2021,사업보고서,여,0.0,0.0,8298000000.0
CJ제일제당,2020,반기보고서,남,0.0,0.0,154194000000.0
CJ제일제당,2020,반기보고서,여,0.0,0.0,49096000000.0
CJ제일제당,2020,사업보고서,남,0.0,0.0,366486000000.0
CJ제일제당,2020,사업보고서,여,0.0,0.0,118641000000.0
CJ제일제당,2021,반기보고서,남,0.0,0.0,172524000000.0
CJ제일제당,2021,반기보고서,여,0.0,0.0,56944000000.0
CJ제일제당,2021,사업보고서,남,0.0,0.0,450037000000.0
CJ제일제당,2021,사업보고서,여,0.0,0.0,150858000000.0
CS홀딩스,2020,반기보고서,남,0.0,0.0,329606000.0
CS홀딩스,2020,사업보고서,남,0.0,0.0,763295000.0
CS홀딩스,2021,반기보고서,남,0.0,0.0,362128000.0
CS홀딩스,2021,사업보고서,남,0.0,0.0,825201000.0
DB,2020,반기보고서,남,0.0,0.0,11408169000.0
DB,2020,반기보고서,여,0.0,0.0,2539346000.0
DB,2020,사업보고서,남,0.0,0.0,22798349000.0
DB,2020,사업보고서,여,0.0,0.0,4929715000.0
DB,2021,반기보고서,남,0.0,0.0,10864285000.0
DB,2021,반기보고서,여,0.0,0.0,2458321000.0
DB,2021,사업보고서,남,0.0,0.0,24512504000.0
DB,2021,사업보고서,여,0.0,0.0,5606853000.0
DB손해보험,2020,반기보고서,남,0.0,0.0,110931184000.0
DB손해보험,2020,반기보고서,여,0.0,0.0,70578992000.0
DB손해보험,2020,사업보고서,남,0.0,0.0,194655851000.0
DB손해보험,2020,사업보고서,여,0.0,0.0,130311980000.0
DB손해보험,2021,반기보고서,남,0.0,0.0,132962536000.0
DB손해보험,2021,반기보고서,여,0.0,0.0,85127529000.0
DB손해보험,2021,사업보고서,남,0.0,0.0,218404256000.0
DB손해보험,2021,사업보고서,여,0.0,0.0,145060019000.0
DB증권,2020,반기보고서,남,0.0,0.0,50290000000.0
DB증권,2020,반기보고서,여,0.0,0.0,10150000000.0
DB증권,2020,사업보고서,남,0.0,0.0,84444000000.0
DB증권,2020,사업보고서,여,0.0,0.0,18156000000.0
DB증권,2021,반기보고서,남,0.0,0.0,61774000000.0
DB증권,2021,반기보고서,여,0.0,0.0,12424000000.0
DB증권,2021,사업보고서,남,0.0,0.0,95338000000.0
DB증권,2021,사업보고서,여,0.0,0.0,20208000000.0
DB하이텍,2020,반기보고서,남,0.0,0.0,40191000000.0
DB하이텍,2020,반기보고서,여,0.0,0.0,19298000000.0
DB하이텍,2020,사업보고서,남,0.0,0.0,94400000000.0
DB하이텍,2020,사업보고서,여,0.0,0.0,47316000000.0
DB하이텍,2021,반기보고서,남,0.0,0.0,43694000000.0
DB하이텍,2021,반기보고서,여,0.0,0.0,20363000000.0
DB하이텍,2021,사업보고서,남,0.0,0.0,110070000000.0
DB하이텍,2021,사업보고서,여,0.0,0.0,54431000000.0
DH오토넥스,2020,반기보고서,남,0.0,0.0,4579810000.0
DH오토넥스,2020,반기보고서,여,0.0,0.0,209529000.0
DH오토넥스,2020,사업보고서,남,0.0,0.0,7451331000.0
DH오토넥스,2020,사업보고서,여,0.0,0.0,441820000.0
DH오토넥스,2021,반기보고서,남,0.0,0.0,2890908000.0
DH오토넥스,2021,반기보고서,여,0.0,0.0,265876000.0
DH오토넥스,2021,사업보고서,남,0.0,0.0,8158628000.0
DH오토넥스,2021,사업보고서,여,0.0,0.0,740808000.0
DKME,2020,반기보고서,남,0.0,0.0,6516000000.0
DKME,2020,반기보고서,여,0.0,0.0,312000000.0
DKME,2020,사업보고서,남,0.0,0.0,11932000000.0
DKME,2020,사업보고서,여,0.0,0.0,597000000.0
DKME,2021,반기보고서,남,0.0,0.0,5328000000.0
DKME,2021,반기보고서,여,0.0,0.0,219000000.0
DKME,2021,사업보고서,남,0.0,0.0,9757000000.0
DKME,2021,사업보고서,여,0.0,0.0,442000000.0
DL,2020,반기보고서,남,0.0,0.0,249893000000.0
DL,2020,반기보고서,여,0.0,0.0,19950000000.0
DL,2020,사업보고서,남,0.0,0.0,476736000000.0
DL,2020,사업보고서,여,0.0,0.0,38506000000.0
DL,2021,반기보고서,남,0.0,0.0,4252000000.0
DL,2021,반기보고서,여,0.0,0.0,308000000.0
DL,2021,사업보고서,남,0.0,0.0,6521000000.0
