기업명,연도,보고서유형,성별,정규직,계약직,총급여
DB증권,2022,반기보고서,여,0.0,0.0,12276000000.0
DB증권,2022,사업보고서,남,0.0,0.0,84579000000.0
DB증권,2022,사업보고서,여,0.0,0.0,20192000000.0
DB증권,2023,반기보고서,남,0.0,0.0,38857000000.0
DB증권,2023,반기보고서,여,0.0,0.0,10470000000.0
DB증권,2023,사업보고서,남,0.0,0.0,68794000000.0
DB증권,2023,사업보고서,여,0.0,0.0,18536000000.0
DB하이텍,2022,반기보고서,남,0.0,0.0,49163000000.0
DB하이텍,2022,반기보고서,여,0.0,0.0,22862000000.0
DB하이텍,2022,사업보고서,남,0.0,0.0,137011000000.0
DB하이텍,2022,사업보고서,여,0.0,0.0,65949000000.0
DB하이텍,2023,반기보고서,남,0.0,0.0,49525000000.0
DB하이텍,2023,반기보고서,여,0.0,0.0,22246000000.0
DB하이텍,2023,사업보고서,남,0.0,0.0,121821000000.0
DB하이텍,2023,사업보고서,여,0.0,0.0,57270000000.0
DH오토넥스,2022,반기보고서,남,0.0,0.0,3941146000.0
DH오토넥스,2022,반기보고서,여,0.0,0.0,421966000.0
DH오토넥스,2022,사업보고서,남,0.0,0.0,8202575000.0
DH오토넥스,2022,사업보고서,여,0.0,0.0,886117000.0
DH오토넥스,2023,반기보고서,남,0.0,0.0,3970208000.0
DH오토넥스,2023,반기보고서,여,0.0,0.0,414664000.0
DH오토넥스,2023,사업보고서,남,0.0,0.0,8240782000.0
DH오토넥스,2023,사업보고서,여,0.0,0.0,827801000.0
DKME,2022,반기보고서,남,0.0,0.0,2171000000.0
DKME,2022,반기보고서,여,0.0,0.0,82000000.0
DKME,2022,사업보고서,남,0.0,0.0,9338000000.0
DKME,2022,사업보고서,여,0.0,0.0,454000000.0
DKME,2023,반기보고서,남,0.0,0.0,4903000000.0
DKME,2023,반기보고서,여,0.0,0.0,290000000.0
DKME,2023,사업보고서,남,0.0,0.0,10398000000.0
DKME,2023,사업보고서,여,0.0,0.0,624000000.0
DL,2022,반기보고서,남,0.0,0.0,4485000000.0
DL,2022,반기보고서,여,0.0,0.0,500000000.0
DL,2022,사업보고서,남,0.0,0.0,7006000000.0
DL,2022,사업보고서,여,0.0,0.0,893000000.0
DL,2023,반기보고서,남,0.0,0.0,4611000000.0
DL,2023,반기보고서,여,0.0,0.0,445000000.0
DL,2023,사업보고서,남,0.0,0.0,6925000000.0
DL,2023,사업보고서,여,0.0,0.0,788000000.0
DN오토모티브,2022,반기보고서,남,0.0,0.0,27018791000.0
DN오토모티브,2022,반기보고서,여,0.0,0.0,4238479000.0
DN오토모티브,2022,사업보고서,남,0.0,0.0,53426412000.0
DN오토모티브,2022,사업보고서,여,0.0,0.0,7501219000.0
DN오토모티브,2023,반기보고서,남,0.0,0.0,26216841000.0
DN오토모티브,2023,반기보고서,여,0.0,0.0,3540687000.0
DN오토모티브,2023,사업보고서,남,0.0,0.0,53214201000.0
DN오토모티브,2023,사업보고서,여,0.0,0.0,7393105000.0
DRB동일,2022,반기보고서,남,0.0,0.0,5725472000.0
DRB동일,2022,반기보고서,여,0.0,0.0,538611000.0
DRB동일,2022,사업보고서,남,0.0,0.0,5071483000.0
DRB동일,2022,사업보고서,여,0.0,0.0,410418000.0
DRB동일,2023,반기보고서,남,0.0,0.0,2226184000.0
DRB동일,2023,반기보고서,여,0.0,0.0,588335000.0
DRB동일,2023,사업보고서,남,0.0,0.0,5128909000.0
DRB동일,2023,사업보고서,여,0.0,0.0,1383643000.0
DSR,2022,반기보고서,남,0.0,0.0,6292166000.0
DSR,2022,반기보고서,여,0.0,0.0,634653000.0
DSR,2022,사업보고서,남,0.0,0.0,12622204000.0
DSR,2022,사업보고서,여,0.0,0.0,1260651000.0
DSR,2023,반기보고서,남,0.0,0.0,6358629000.0
DSR,2023,반기보고서,여,0.0,0.0,594972000.0
DSR,2023,사업보고서,남,0.0,0.0,12798566000.0
DSR,2023,사업보고서,여,0.0,0.0,1124326000.0
DSR제강,2022,반기보고서,남,0.0,0.0,5368321000.0
DSR제강,2022,반기보고서,여,0.0,0.0,424419000.0
DSR제강,2022,사업보고서,남,0.0,0.0,11209329000.0
DSR제강,2022,사업보고서,여,0.0,0.0,915898000.0
DSR제강,2023,반기보고서,남,0.0,0.0,5378454000.0
DSR제강,2023,반기보고서,여,0.0,0.0,457856000.0
DSR제강,2023,사업보고서,남,0.0,0.0,11406559000.0
DSR제강,2023,사업보고서,여,0.0,0.0,895870000.0
E1,2022,반기보고서,남,0.0,0.0,11601000000.0
E1,2022,반기보고서,여,0.0,0.0,745000000.0
E1,2022,사업보고서,남,0.0,0.0,41822000000.0
E1,2022,사업보고서,여,0.0,0.0,2294000000.0
E1,2023,반기보고서,남,0.0,0.0,11353000000.0
E1,2023,반기보고서,여,0.0,0.0,734000000.0
E1,2023,사업보고서,남,0.0,0.0,43276000000.0
E1,2023,사업보고서,여,0.0,0.0,2570000000.0
F&F 홀딩스,2022,반기보고서,남,0.0,0.0,1105903000.0
F&F 홀딩스,2022,반기보고서,여,0.0,0.0,152438000.0
F&F 홀딩스,2022,사업보고서,남,0.0,0.0,2279420000.0
F&F 홀딩스,2022,사업보고서,여,0.0,0.0,316213000.0
F&F 홀딩스,2023,반기보고서,남,0.0,0.0,199334000.0
F&F 홀딩스,2023,반기보고서,여,0.0,0.0,168366000.0
F&F 홀딩스,2023,사업보고서,남,0.0,0.0,382268000.0
F&F 홀딩스,2023,사업보고서,여,0.0,0.0,338808000.0
GKL,2022,반기보고서,남,0.0,0.0,29366272000.0
GKL,2022,반기보고서,여,0.0,0.0,30708002000.0
GKL,2022,사업보고서,남,0.0,0.0,52030295000.0
GKL,2022,사업보고서,여,0.0,0.0,54910771000.0
GKL,2023,반기보고서,남,0.0,0.0,34861336000.0
GKL,2023,반기보고서,여,0.0,0.0,38874986000.0
GKL,2023,사업보고서,남,0.0,0.0,58021000000.0
GKL,2023,사업보고서,여,0.0,0.0,64806000000.0
GS,2022,반기보고서,남,0.0,0.0,5265000000.0
GS,2022,반기보고서,여,0.0,0.0,831000000.0
GS,2022,사업보고서,남,0.0,0.0,8307000000.0
GS,2022,사업보고서,여,0.0,0.0,1484000000.0
GS,2023,반기보고서,남,0.0,0.0,6727000000.0
GS,2023,반기보고서,여,0.0,0.0,1374000000.0
GS,2023,사업보고서,남,0.0,0.0,11096000000.0
GS,2023,사업보고서,여,0.0,0.0,2191000000.0
GS건설,2022,반기보고서,남,0.0,0.0,295698000000.0
GS건설,2022,반기보고서,여,0.0,0.0,19309000000.0
GS건설,2022,사업보고서,남,0.0,0.0,525130000000.0
GS건설,2022,사업보고서,여,0.0,0.0,35754000000.0
GS건설,2023,반기보고서,남,0.0,0.0,293669000000.0
GS건설,2023,반기보고서,여,0.0,0.0,20870000000.0
GS건설,2023,사업보고서,남,0.0,0.0,522477000000.0
GS건설,2023,사업보고서,여,0.0,0.0,38801000000.0
GS글로벌,2022,반기보고서,남,0.0,0.0,11217000000.0
GS글로벌,2022,반기보고서,여,0.0,0.0,1668000000.0
GS글로벌,2022,사업보고서,남,0.0,0.0,17641000000.0
GS글로벌,2022,사업보고서,여,0.0,0.0,3047000000.0
GS글로벌,2023,반기보고서,남,0.0,0.0,13028000000.0
GS글로벌,2023,반기보고서,여,0.0,0.0,2263000000.0
