기업명,연도,보고서유형,매출액,영업이익
시디즈,2024,사업보고서,"208,408,238,360","-3,363,725,188"
한화엔진,2024,반기보고서,"579,850,378,018","38,050,159,593"
한화엔진,2024,사업보고서,"1,202,204,707,511","71,531,721,192"
대성에너지,2024,반기보고서,"550,222,698,594","16,509,103,437"
대성에너지,2024,사업보고서,"995,129,899,139","20,476,271,942"
현대퓨처넷,2024,반기보고서,"90,798,523,064","5,977,035,819"
현대퓨처넷,2024,사업보고서,"215,815,951,313","6,944,571,843"
KTis,2024,반기보고서,"296,882,617,301","11,095,874,355"
KTis,2024,사업보고서,"603,899,372,784","20,990,586,403"
한전산업,2024,반기보고서,"191,692,917,582","20,891,051,835"
한전산업,2024,사업보고서,"367,526,889,292","16,143,683,837"
엘브이엠씨,2024,반기보고서,"100,513,807","5,675,764"
엘브이엠씨,2024,사업보고서,"216,803,097","12,025,144"
미스토홀딩스,2024,반기보고서,"2,357,911,778,763","303,405,850,663"
미스토홀딩스,2024,사업보고서,"4,268,743,012,835","360,803,535,166"
KTcs,2024,반기보고서,"583,587,572,919","-1,867,151,826"
KTcs,2024,사업보고서,"1,121,341,270,752","6,971,273,020"
현대홈쇼핑,2024,반기보고서,"1,949,064,223,619","91,497,083,579"
현대홈쇼핑,2024,사업보고서,"3,853,462,322,479","130,128,245,059"
도화엔지니어링,2024,반기보고서,"275,499,822,225","7,318,587,011"
도화엔지니어링,2024,사업보고서,"582,786,671,724","-13,386,874,639"
대성산업,2024,반기보고서,"741,485,058,084","13,959,997,002"
대성산업,2024,사업보고서,"1,476,772,033,939","21,781,127,161"
아이마켓코리아,2024,반기보고서,"1,718,430,302,201","22,514,627,642"
아이마켓코리아,2024,사업보고서,"3,318,335,159,154","44,784,623,263"
한미약품,2024,반기보고서,"781,817,173,461","134,754,469,907"
한미약품,2024,사업보고서,"1,495,501,575,568","216,186,188,006"
우진,2024,반기보고서,"75,219,449,388","13,765,896,927"
우진,2024,사업보고서,"140,726,674,100","16,105,340,148"
무학,2024,반기보고서,"78,531,234,158","10,366,364,546"
무학,2024,사업보고서,"152,059,251,251","16,875,863,184"
이연제약,2024,반기보고서,"72,695,765,009","1,448,244,837"
이연제약,2024,사업보고서,"148,299,673,635","79,259,194"
한국화장품,2024,반기보고서,"47,271,101,799","2,382,448,305"
한국화장품,2024,사업보고서,"92,787,843,982","3,713,273,746"
에스제이엠,2024,반기보고서,"103,509,310,120","8,453,375,075"
에스제이엠,2024,사업보고서,"201,912,429,709","14,237,606,905"
HL홀딩스,2024,반기보고서,"695,602,217,868","84,069,151,614"
HL홀딩스,2024,사업보고서,"1,371,086,204,119","90,442,516,250"
삼성생명,2024,반기보고서,,
삼성생명,2024,사업보고서,,
신세계푸드,2024,반기보고서,"775,761,774,632","14,310,902,001"
신세계푸드,2024,사업보고서,"1,534,799,832,427","20,764,540,801"
한화생명,2024,반기보고서,,
한화생명,2024,사업보고서,,
조선선재,2024,반기보고서,"23,186,549,522","3,465,663,025"
조선선재,2024,사업보고서,"50,908,446,396","8,683,453,948"
코오롱인더,2024,반기보고서,"2,445,173,560,564","90,077,351,861"
코오롱인더,2024,사업보고서,"4,843,003,131,269","158,723,468,850"
KC코트렐,2024,반기보고서,"169,651,055,959","-63,200,821,855"
KC코트렐,2024,사업보고서,"341,075,218,924","-69,612,175,500"
지역난방공사,2024,반기보고서,"1,906,935,610,354","185,198,196,918"
지역난방공사,2024,사업보고서,"3,570,309,804,422","327,942,028,598"
영흥,2024,반기보고서,"251,995,760,553","6,615,992,347"
영흥,2024,사업보고서,"480,348,334,559","3,072,645,371"
메타케어,2024,반기보고서,"9,753,758,825","523,939,957"
메타케어,2024,사업보고서,"20,208,077,617","1,504,932,937"
한전기술,2024,반기보고서,"254,859,713,553","22,302,899,893"
한전기술,2024,사업보고서,"553,362,978,026","54,806,059,056"
GKL,2024,반기보고서,"196,771,122,488","27,059,305,634"
GKL,2024,사업보고서,"396,390,016,167","38,324,545,939"
SK,2024,반기보고서,"63,822,613,000,000","2,250,535,000,000"
SK,2024,사업보고서,"124,690,439,000,000","2,355,290,000,000"
황금에스티,2024,반기보고서,"157,301,301,080","8,477,942,271"
황금에스티,2024,사업보고서,"321,091,393,225","19,372,382,177"
하이트진로,2024,반기보고서,"1,286,389,128,608","116,598,699,077"
하이트진로,2024,사업보고서,"2,599,183,408,023","208,141,871,425"
동양생명,2024,반기보고서,,
동양생명,2024,사업보고서,,
유니온머티리얼,2024,반기보고서,"57,675,993,864","-4,390,562,688"
유니온머티리얼,2024,사업보고서,"108,366,485,493","-16,501,073,442"
키움증권,2024,반기보고서,"4,923,869,360,363",
키움증권,2024,사업보고서,"11,280,306,577,010",
영원무역,2024,반기보고서,"1,602,411,464,333","237,494,288,068"
영원무역,2024,사업보고서,"3,517,837,283,293","315,580,583,310"
한미글로벌,2024,반기보고서,"204,445,020,851","16,515,701,640"
한미글로벌,2024,사업보고서,"424,771,849,486","33,916,675,016"
동아지질,2024,반기보고서,"185,439,414,296","3,763,149,248"
동아지질,2024,사업보고서,"393,493,162,674","9,611,724,890"
HD현대마린엔진,2024,반기보고서,"146,451,856,159","15,251,593,258"
HD현대마린엔진,2024,사업보고서,"315,793,988,713","33,193,655,658"
LX하우시스,2024,반기보고서,"1,791,369,000,000","70,200,000,000"
LX하우시스,2024,사업보고서,"3,572,036,000,000","97,465,000,000"
한세실업,2024,반기보고서,"859,733,646,678","80,639,336,278"
한세실업,2024,사업보고서,"1,797,795,746,533","142,197,707,885"
주성코퍼레이션,2024,반기보고서,"29,668,005,765","1,700,304,566"
주성코퍼레이션,2024,사업보고서,"68,846,344,884","3,763,674,211"
미원홀딩스,2024,반기보고서,"243,121,257,670","15,884,509,144"
미원홀딩스,2024,사업보고서,"476,575,958,592","23,033,364,411"
NAVER,2024,반기보고서,"5,136,541,336,068","911,978,251,158"
NAVER,2024,사업보고서,"10,737,719,264,647","1,979,263,438,827"
부국철강,2024,반기보고서,"95,498,101,021","1,210,378,570"
부국철강,2024,사업보고서,"181,818,473,591","95,602,164"
KB금융,2024,반기보고서,,
KB금융,2024,사업보고서,,
한국철강,2024,반기보고서,"313,390,070,043","1,662,239,906"
한국철강,2024,사업보고서,"600,003,866,825","1,813,549,115"
일진전기,2024,반기보고서,"775,035,422,801","42,783,687,584"
일진전기,2024,사업보고서,"1,577,247,371,000","79,742,010,000"
풍산,2024,반기보고서,"2,197,157,414,680","215,545,588,710"
풍산,2024,사업보고서,"4,554,411,454,633","323,768,893,078"
LG이노텍,2024,반기보고서,"8,888,847,000,000","327,722,000,000"
LG이노텍,2024,사업보고서,"21,200,755,000,000","706,043,000,000"
명문제약,2024,반기보고서,"90,311,974,818","-1,612,531,321"
명문제약,2024,사업보고서,"186,443,052,017","1,928,730,102"
비상교육,2024,반기보고서,"112,189,684,705","4,764,367"
비상교육,2024,사업보고서,"246,460,145,921","10,222,169,336"
동성케미컬,2024,반기보고서,"505,652,444,295","42,667,550,943"
동성케미컬,2024,사업보고서,"1,066,318,113,144","91,029,915,815"
쌍방울,2024,반기보고서,"43,097,473,039","-1,439,705,469"
쌍방울,2024,사업보고서,"91,989,592,645","-2,290,327,604"
LG유플러스,2024,반기보고서,"7,070,662,000,000","474,942,000,000"
LG유플러스,2024,사업보고서,"14,625,198,000,000","863,130,000,000"
인바이오젠,2024,반기보고서,"2,792,874,439","-2,693,244,823"
인바이오젠,2024,사업보고서,"7,041,061,562","-6,093,214,907"
아시아나항공,2024,반기보고서,"4,024,213,609,075","80,332,353,741"
아시아나항공,2024,사업보고서,"8,318,567,228,711","275,690,391,993"
SNT에너지,2024,반기보고서,"128,893,319,216","8,029,991,178"
SNT에너지,2024,사업보고서,"294,264,258,276","22,239,479,490"
진양홀딩스,2024,반기보고서,"137,109,759,567","5,444,502,619"
진양홀딩스,2024,사업보고서,"286,846,166,692","4,914,347,266"
엔케이,2024,반기보고서,"51,096,731,113","-2,046,441,010"
엔케이,2024,사업보고서,"110,936,560,917","-4,824,856,791"
한전KPS,2024,반기보고서,"771,440,815,221","126,636,903,182"
한전KPS,2024,사업보고서,"1,557,085,808,533","209,498,645,768"
KSS해운,2024,반기보고서,"249,582,541,930","50,303,436,492"
KSS해운,2024,사업보고서,"517,929,006,796","104,082,690,245"
효성 ITX,2024,반기보고서,"246,976,383,474","8,987,455,916"
효성 ITX,2024,사업보고서,"506,354,423,294","18,749,635,222"
유나이티드,2024,반기보고서,"144,166,843,682","29,396,834,438"
유나이티드,2024,사업보고서,"288,706,729,642","56,283,207,635"
디아이씨,2024,반기보고서,"367,080,346,122","12,597,787,138"
디아이씨,2024,사업보고서,"719,127,919,117","21,831,913,269"
CJ제일제당,2024,반기보고서,"14,454,635,152,000","759,504,326,000"
CJ제일제당,2024,사업보고서,"29,359,081,823,000","1,553,017,638,000"
팬오션,2024,반기보고서,"2,208,942,000,000","233,326,000,000"
팬오션,2024,사업보고서,"5,161,218,000,000","471,180,000,000"
HJ중공업,2024,반기보고서,"952,381,000,000","-27,645,000,000"
HJ중공업,2024,사업보고서,"1,885,962,000,000","7,252,000,000"
JW홀딩스,2024,반기보고서,"437,715,196,474","68,728,016,743"
JW홀딩스,2024,사업보고서,"887,710,032,227","146,522,860,164"
SK이노베이션,2024,반기보고서,"37,654,252,542,000","578,893,362,000"
SK이노베이션,2024,사업보고서,"74,716,970,174,000","315,488,338,000"
삼성카드,2024,반기보고서,"2,195,699,505,154",
삼성카드,2024,사업보고서,"4,383,209,688,411",
알루코,2024,반기보고서,"324,532,420,181","25,105,896,345"
알루코,2024,사업보고서,"622,944,292,918","38,053,108,468"
웅진씽크빅,2024,반기보고서,"437,195,707,092","3,667,296,545"
웅진씽크빅,2024,사업보고서,"867,180,219,415","9,246,662,221"
메타랩스,2024,반기보고서,"19,345,626,856","-1,068,414,204"
메타랩스,2024,사업보고서,"38,359,458,272","-3,202,497,656"
후성,2024,반기보고서,"220,499,405,659","-5,179,463,278"
후성,2024,사업보고서,"437,795,018,982","-9,575,604,806"
LF,2024,반기보고서,"915,788,840,738","46,278,820,700"
LF,2024,사업보고서,"1,956,268,444,555","126,139,587,434"
주연테크,2024,반기보고서,"24,341,724,699","-1,165,135,335"
주연테크,2024,사업보고서,"53,068,185,647","-2,902,454,919"
코스맥스비티아이,2024,반기보고서,"299,210,354,134","9,011,570,546"
코스맥스비티아이,2024,사업보고서,"597,630,263,412","16,794,453,838"
인천도시가스,2024,반기보고서,"490,540,830,233","10,227,152,754"
인천도시가스,2024,사업보고서,"943,613,477,823","19,421,916,059"
삼정펄프,2024,반기보고서,"80,475,679,771","3,087,211,852"
삼정펄프,2024,사업보고서,"163,884,080,446","4,868,322,824"
KEC,2024,반기보고서,"128,554,583,731","-1,184,369,556"
KEC,2024,사업보고서,"243,169,932,842","-13,271,186,259"
KPX홀딩스,2024,반기보고서,"607,128,627,108","34,355,469,333"
KPX홀딩스,2024,사업보고서,"1,223,942,110,308","51,133,047,274"
HDC현대EP,2024,반기보고서,"501,081,125,420","19,295,507,605"
HDC현대EP,2024,사업보고서,"990,565,997,299","32,675,739,823"
노루페인트,2024,반기보고서,"402,446,387,774","27,217,878,289"
노루페인트,2024,사업보고서,"793,847,292,349","43,664,633,269"
아모레퍼시픽,2024,반기보고서,"1,816,203,853,230","76,829,689,637"
아모레퍼시픽,2024,사업보고서,"3,885,110,699,186","220,481,343,913"
롯데관광개발,2024,반기보고서,"222,305,020,463","14,677,504,376"
롯데관광개발,2024,사업보고서,"471,467,953,184","39,006,615,340"
평화산업,2024,반기보고서,"296,085,430,550","8,382,293,340"
평화산업,2024,사업보고서,"588,377,472,367","14,061,353,558"
우진플라임,2024,반기보고서,"99,220,406,278","-1,588,184,206"
우진플라임,2024,사업보고서,"209,594,990,056","1,389,976,524"
신세계I&C,2024,반기보고서,"301,893,857,968","17,649,258,341"
신세계I&C,2024,사업보고서,"625,716,262,145","36,953,168,486"
진도,2024,반기보고서,"19,148,502,210","-898,337,443"
진도,2024,사업보고서,"44,153,009,434","1,143,805,417"
롯데쇼핑,2024,반기보고서,"6,941,116,039,650","170,925,805,626"
롯데쇼핑,2024,사업보고서,"13,986,578,270,060","473,113,964,780"
현대글로비스,2024,반기보고서,"13,650,754,573,440","824,059,645,218"
현대글로비스,2024,사업보고서,"28,407,374,301,315","1,752,867,442,226"
티비에이치글로벌,2024,반기보고서,"90,581,774,229","2,433,193,191"
티비에이치글로벌,2024,사업보고서,"178,464,510,529","3,360,351,544"
하나금융지주,2024,반기보고서,,
하나금융지주,2024,사업보고서,,
제일연마,2024,반기보고서,"40,237,944,216","3,676,096,993"
제일연마,2024,사업보고서,"81,974,461,738","5,753,862,882"
현대리바트,2024,반기보고서,"1,001,744,476,614","14,968,862,382"
현대리바트,2024,사업보고서,"1,870,657,004,478","24,036,538,571"
대한제강,2024,반기보고서,"616,828,318,370","24,893,443,484"
대한제강,2024,사업보고서,"1,224,534,509,948","10,317,146,497"
새론오토모티브,2024,반기보고서,"72,353,527,993","137,750,398"
새론오토모티브,2024,사업보고서,"142,009,270,182","-5,783,033,372"
그린케미칼,2024,반기보고서,"166,885,294,125","5,933,953,762"
그린케미칼,2024,사업보고서,"330,339,365,530","10,686,734,198"
대상홀딩스,2024,반기보고서,"2,620,548,382,864","99,574,556,910"
대상홀딩스,2024,사업보고서,"5,357,890,370,159","184,029,822,016"
코아스,2024,반기보고서,"38,871,944,301","-85,773,338"
코아스,2024,사업보고서,"77,951,547,768","-7,244,717,384"
이월드,2024,반기보고서,"60,612,551,924","2,518,188,413"
이월드,2024,사업보고서,"108,453,970,504","-419,841,181"
동양고속,2024,반기보고서,"59,837,588,140","-1,603,048,668"
동양고속,2024,사업보고서,"121,720,579,912","-1,530,752,310"
한미반도체,2024,반기보고서,"200,795,528,830","84,144,133,647"
한미반도체,2024,사업보고서,"558,917,191,547","255,391,604,854"
동일산업,2024,반기보고서,"224,292,769,895","2,010,523,338"
동일산업,2024,사업보고서,"415,796,640,204","-4,158,725,047"
삼호개발,2024,반기보고서,"198,395,292,823","5,360,311,845"
삼호개발,2024,사업보고서,"401,776,583,229","1,172,393,105"
금호타이어,2024,반기보고서,"2,176,444,161,158","297,138,461,146"
금호타이어,2024,사업보고서,"4,532,177,923,979","588,591,711,860"
CJ CGV,2024,반기보고서,"822,885,557,698","26,885,661,239"
CJ CGV,2024,사업보고서,"1,957,884,214,182","75,933,768,898"
일진다이아,2024,반기보고서,"69,978,831,766","690,582,560"
일진다이아,2024,사업보고서,"157,050,555,577","-4,644,208,842"
유니드,2024,반기보고서,"546,340,406,128","62,531,567,283"
유니드,2024,사업보고서,"1,111,631,182,007","95,444,584,358"
상신브레이크,2024,반기보고서,"291,095,679,580","11,889,884,164"
상신브레이크,2024,사업보고서,"578,555,061,212","20,646,142,654"
인팩,2024,반기보고서,"278,306,641,548","16,079,273,861"
인팩,2024,사업보고서,"563,872,906,748","20,019,051,765"
GS,2024,반기보고서,"12,492,656,000,000","1,814,363,000,000"
GS,2024,사업보고서,"25,297,467,000,000","3,060,163,000,000"
유니퀘스트,2024,반기보고서,"343,271,991,405","17,637,332,783"
유니퀘스트,2024,사업보고서,"710,482,069,603","34,138,354,685"
다스코,2024,반기보고서,"157,253,037,045","358,845,233"
다스코,2024,사업보고서,"312,011,404,043","-1,754,716,494"
LG디스플레이,2024,반기보고서,"11,961,174,000,000","-563,105,000,000"
