corp_name,시장구분,종목코드,업종,상장일,결산월,지역,corp_name,corp_code
대성산업,유가,128820,연료 소매업,2010-07-30,12월,서울특별시,대성산업,"""00509079"""
대성산업,유가,128820,연료 소매업,2010-07-30,12월,서울특별시,대성산업,"""01782031"""
대성산업,유가,128820,연료 소매업,2010-07-30,12월,서울특별시,대성산업,"""00828789"""
아이마켓코리아,유가,122900,상품 종합 도매업,2010-07-30,12월,서울특별시,아이마켓코리아,"""00360142"""
한미약품,유가,128940,의약품 제조업,2010-07-30,12월,경기도,한미약품,"""00828497"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01171776"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""00173944"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01588107"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01286449"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01708677"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""00143299"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01763610"""
우진,유가,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2010-07-26,12월,경기도,우진,"""01071883"""
무학,유가,33920,알코올음료 제조업,2010-07-20,12월,경상남도,무학,"""00121543"""
이연제약,유가,102460,의약품 제조업,2010-06-10,12월,서울특별시,이연제약,"""00145598"""
한국화장품,유가,123690,생활용품 도매업,2010-06-01,12월,서울특별시,한국화장품,"""00823429"""
에스제이엠,유가,123700,자동차 신품 부품 제조업,2010-05-31,12월,경기도,에스제이엠,"""00922252"""
에스제이엠,유가,123700,자동차 신품 부품 제조업,2010-05-31,12월,경기도,에스제이엠,"""00815369"""
HL홀딩스,유가,60980,기타 금융업,2010-05-19,12월,경기도,HL홀딩스,"""00299002"""
삼성생명,유가,32830,보험업,2010-05-12,12월,서울특별시,삼성생명,"""00126256"""
신세계푸드,유가,31440,음식점업,2010-04-29,12월,서울특별시,신세계푸드,"""00274933"""
한화생명,유가,88350,보험업,2010-03-17,12월,서울특별시,한화생명,"""00113058"""
조선선재,유가,120030,기타 금속 가공제품 제조업,2010-02-19,12월,경상북도,조선선재,"""00796994"""
코오롱인더,유가,120110,화학섬유 제조업,2010-02-01,12월,서울특별시,코오롱인더,"""00795135"""
KC코트렐,유가,119650,일반 목적용 기계 제조업,2010-01-29,12월,서울특별시,KC코트렐,"""00797364"""
지역난방공사,유가,71320,"증기, 냉·온수 및 공기조절 공급업",2010-01-29,12월,경기도,지역난방공사,"""00159698"""
영흥,유가,12160,1차 철강 제조업,2010-01-25,12월,충청남도,영흥,"""00970958"""
영흥,유가,12160,1차 철강 제조업,2010-01-25,12월,충청남도,영흥,"""01369788"""
영흥,유가,12160,1차 철강 제조업,2010-01-25,12월,충청남도,영흥,"""00141477"""
메타케어,유가,118000,기계장비 및 관련 물품 도매업,2009-12-30,12월,경기도,메타케어,"""00791209"""
한전기술,유가,52690,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-12-14,12월,경상북도,한전기술,"""00159209"""
GKL,유가,114090,유원지 및 기타 오락관련 서비스업,2009-11-19,12월,서울특별시,GKL,"""00557508"""
SK,유가,34730,기타 금융업,2009-11-11,12월,서울특별시,SK,"""00144155"""
SK,유가,34730,기타 금융업,2009-11-11,12월,서울특별시,SK,"""00181712"""
황금에스티,유가,32560,1차 비철금속 제조업,2009-10-29,12월,경기도,황금에스티,"""00218575"""
하이트진로,유가,80,알코올음료 제조업,2009-10-19,12월,서울특별시,하이트진로,"""00150244"""
동양생명,유가,82640,보험업,2009-10-08,12월,서울특별시,동양생명,"""00117267"""
유니온머티리얼,유가,47400,"내화, 비내화 요업제품 제조업",2009-09-29,12월,대구광역시,유니온머티리얼,"""00369833"""
키움증권,유가,39490,금융 지원 서비스업,2009-08-03,12월,서울특별시,키움증권,"""00296290"""
영원무역,유가,111770,상품 종합 도매업,2009-07-30,12월,서울특별시,영원무역,"""00776820"""
한미글로벌,유가,53690,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-06-23,12월,서울특별시,한미글로벌,"""00815280"""
