기업명,연도,보고서유형,매출액,영업이익
하나투어,2016,사업보고서,"595,538,710,114","20,931,952,816"
하나투어,2017,반기보고서,"333,936,320,603","15,147,349,999"
하나투어,2017,사업보고서,"682,307,266,473","40,830,361,150"
에이블씨엔씨,2016,반기보고서,"210,057,709,427","11,210,601,763"
에이블씨엔씨,2016,사업보고서,"434,555,619,405","24,300,159,431"
에이블씨엔씨,2017,반기보고서,"196,439,439,629","7,373,258,872"
에이블씨엔씨,2017,사업보고서,"373,285,260,310","11,229,560,541"
삼원강재,2016,반기보고서,"135,842,351,825","8,657,910,928"
삼원강재,2016,사업보고서,"268,398,547,826","15,935,138,473"
삼원강재,2017,반기보고서,"139,671,601,275","6,257,498,158"
삼원강재,2017,사업보고서,"276,173,443,776","12,556,026,672"
신세계인터내셔날,2016,반기보고서,"484,162,464,082","11,025,873,137"
신세계인터내셔날,2016,사업보고서,"1,021,123,056,073","27,040,430,834"
신세계인터내셔날,2017,반기보고서,"511,588,578,160","8,825,575,688"
신세계인터내셔날,2017,사업보고서,"1,102,544,875,501","25,439,302,054"
에이리츠,2016,반기보고서,"33,570,169,558","8,769,386,390"
에이리츠,2016,사업보고서,"33,570,169,558","7,742,123,867"
에이리츠,2017,반기보고서,"259,248,742","-652,360,635"
에이리츠,2017,사업보고서,"509,008,911","-1,230,470,271"
한국항공우주,2016,반기보고서,"1,511,944,000,000","176,213,000,000"
한국항공우주,2016,사업보고서,"2,946,331,000,000","320,092,000,000"
한국항공우주,2017,반기보고서,"1,132,377,000,000","-27,334,000,000"
한국항공우주,2017,사업보고서,"2,072,249,142,312","-208,873,254,329"
롯데하이마트,2016,반기보고서,"1,838,354,719,554","68,794,102,451"
롯데하이마트,2016,사업보고서,"3,939,442,418,372","174,539,881,090"
롯데하이마트,2017,반기보고서,"1,960,719,709,087","97,654,194,156"
롯데하이마트,2017,사업보고서,"4,099,341,305,980","207,463,227,673"
한세엠케이,2016,반기보고서,"151,335,392,329","4,921,212,902"
한세엠케이,2016,사업보고서,"318,481,385,174","10,259,821,329"
한세엠케이,2017,반기보고서,"156,643,806,736","8,727,613,975"
한세엠케이,2017,사업보고서,"328,898,002,869","9,532,657,754"
코오롱ENP,2016,반기보고서,"122,616,330,984","12,049,980,159"
코오롱ENP,2016,사업보고서,"238,377,364,725","17,927,126,262"
코오롱ENP,2017,반기보고서,"129,069,943,959","9,210,224,578"
코오롱ENP,2017,사업보고서,"262,242,096,910","19,611,191,984"
이마트,2016,반기보고서,"7,083,443,977,622","202,975,524,994"
이마트,2016,사업보고서,"14,777,876,303,720","546,854,595,914"
이마트,2017,반기보고서,"7,705,621,824,524","215,537,551,160"
이마트,2017,사업보고서,"15,876,686,561,466","566,919,510,328"
케이티스카이라이프,2016,반기보고서,"329,843,834,954","53,123,933,182"
케이티스카이라이프,2016,사업보고서,"665,053,007,449","80,637,464,285"
케이티스카이라이프,2017,반기보고서,"329,962,008,072","43,971,469,179"
케이티스카이라이프,2017,사업보고서,,"75,372,599,401"
세아특수강,2016,반기보고서,"331,299,658,776","20,149,421,252"
세아특수강,2016,사업보고서,"668,837,237,346","40,389,664,375"
세아특수강,2017,반기보고서,"361,990,443,182","19,914,566,056"
세아특수강,2017,사업보고서,"729,885,140,245","35,057,763,641"
한국종합기술,2016,반기보고서,"103,766,013,642","3,916,100,937"
한국종합기술,2016,사업보고서,"199,370,927,856","4,236,724,088"
한국종합기술,2017,반기보고서,"96,957,615,687","857,277,368"
한국종합기술,2017,사업보고서,"199,604,541,858","-7,252,929,852"
롯데에너지머티리얼즈,2016,반기보고서,"201,953,000,000","13,803,000,000"
롯데에너지머티리얼즈,2016,사업보고서,"398,957,000,000","29,021,000,000"
롯데에너지머티리얼즈,2017,반기보고서,"211,603,000,000","28,386,000,000"
롯데에너지머티리얼즈,2017,사업보고서,"454,035,000,000","49,522,000,000"
현대위아,2016,반기보고서,"3,787,372,833,171","170,828,858,090"
현대위아,2016,사업보고서,"7,589,447,382,673","262,732,211,160"
현대위아,2017,반기보고서,"3,685,096,069,777","73,216,946,119"
현대위아,2017,사업보고서,"7,487,391,747,448","16,717,839,507"
선진,2016,반기보고서,"317,227,780,416","16,658,095,011"
선진,2016,사업보고서,"645,348,237,035","42,295,518,756"
선진,2017,반기보고서,"377,104,927,481","33,860,252,757"
선진,2017,사업보고서,"816,707,303,911","54,706,105,320"
미원화학,2016,반기보고서,"71,373,998,378","9,860,709,316"
미원화학,2016,사업보고서,"139,901,001,047","16,025,922,701"
미원화학,2017,반기보고서,"75,482,180,475","7,658,903,140"
미원화학,2017,사업보고서,"151,063,206,905","13,565,024,450"
시디즈,2016,반기보고서,"5,063,624,803","-326,451,542"
시디즈,2016,사업보고서,"9,939,845,245","-420,353,358"
시디즈,2017,반기보고서,"7,835,626,222","-136,542,902"
시디즈,2017,사업보고서,"12,520,488,308","-237,673,335"
한화엔진,2016,반기보고서,"375,084,661,215","3,492,160,793"
한화엔진,2016,사업보고서,"802,916,582,708","4,237,273,578"
한화엔진,2017,반기보고서,"443,302,820,485","14,245,577,984"
한화엔진,2017,사업보고서,"768,870,296,519","13,477,423,176"
대성에너지,2016,반기보고서,"430,777,610,003","15,964,161,968"
대성에너지,2016,사업보고서,"738,562,283,397","19,281,322,350"
