회사명,시장구분,종목코드,업종,상장일,결산월,지역
비비씨,코스닥,318410,기타 화학제품 제조업,2020-09-21,12월,대전광역시
코스텍시스,코스닥,355150,반도체 제조업,2020-09-18,12월,인천광역시
핌스,코스닥,347770,전자부품 제조업,2020-09-18,12월,인천광역시
압타머사이언스,코스닥,291650,자연과학 및 공학 연구개발업,2020-09-16,12월,경기도
이오플로우,코스닥,294090,의료용 기기 제조업,2020-09-14,12월,경기도
카카오게임즈,코스닥,293490,소프트웨어 개발 및 공급업,2020-09-10,12월,경기도
피엔케이피부임상연구센타,코스닥,347740,"그외 기타 전문, 과학 및 기술 서비스업",2020-09-09,12월,서울특별시
코람코라이프인프라리츠,유가,357120,부동산 임대 및 공급업,2020-08-31,11월,서울특별시
아이디피,코스닥,332370,컴퓨터 및 주변장치 제조업,2020-08-24,12월,서울특별시
셀레믹스,코스닥,331920,기초 의약물질 제조업,2020-08-21,12월,서울특별시
고스트스튜디오,코스닥,950190,소프트웨어 개발 및 공급업,2020-08-18,12월,홍콩
젝시믹스,코스닥,337930,기타 정보 서비스업,2020-08-13,12월,서울특별시
영림원소프트랩,코스닥,60850,소프트웨어 개발 및 공급업,2020-08-12,12월,서울특별시
한국파마,코스닥,32300,의약품 제조업,2020-08-10,12월,경기도
제이알글로벌리츠,유가,348950,부동산 임대 및 공급업,2020-08-07,06월,서울특별시
솔브레인,코스닥,357780,기타 화학제품 제조업,2020-08-06,12월,경기도
미래에셋맵스리츠,유가,357250,부동산 임대 및 공급업,2020-08-05,11월,서울특별시
이지스레지던스리츠,유가,350520,부동산 임대 및 공급업,2020-08-05,06월,서울특별시
PS일렉트로닉스,코스닥,332570,전자부품 제조업,2020-07-31,12월,경기도
에코앤드림,코스닥,101360,기타 화학제품 제조업,2020-07-30,12월,충청북도
엠투아이,코스닥,347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2020-07-29,12월,경기도
더네이쳐홀딩스,코스닥,298540,의복 액세서리 제조업,2020-07-27,12월,서울특별시
제놀루션,코스닥,225220,기초 의약물질 제조업,2020-07-24,12월,서울특별시
솔트룩스,코스닥,304100,소프트웨어 개발 및 공급업,2020-07-23,12월,서울특별시
바이오인프라생명과학,코넥스,266470,자연과학 및 공학 연구개발업,2020-07-22,12월,서울특별시
티에스아이,코스닥,277880,특수 목적용 기계 제조업,2020-07-22,12월,경기도
에이프로,코스닥,262260,기타 전기장비 제조업,2020-07-16,12월,경기도
이지스밸류플러스리츠,유가,334890,부동산 임대 및 공급업,2020-07-16,08월,서울특별시
소마젠,코스닥,950200,"그외 기타 전문, 과학 및 기술 서비스업",2020-07-13,12월,미국
신도기연,코스닥,290520,특수 목적용 기계 제조업,2020-07-06,12월,경기도
위더스제약,코스닥,330350,의약품 제조업,2020-07-03,12월,서울특별시
에스케이바이오팜,유가,326030,자연과학 및 공학 연구개발업,2020-07-02,12월,경기도
엠브레인,코스닥,169330,시장조사 및 여론조사업,2020-07-01,06월,서울특별시
젠큐릭스,코스닥,229000,의료용품 및 기타 의약 관련제품 제조업,2020-06-25,12월,서울특별시
무진메디,코넥스,322970,자연과학 및 공학 연구개발업,2020-06-24,12월,경기도
HB솔루션,코스닥,297890,특수 목적용 기계 제조업,2020-06-22,12월,충청남도
넥사다이내믹스,코스닥,351320,특수 목적용 기계 제조업,2020-06-22,12월,경기도
에스씨엠생명과학,코스닥,298060,의약품 제조업,2020-06-17,12월,인천광역시
휴럼,코스닥,353190,기타 식품 제조업,2020-06-17,12월,서울특별시
이지바이오,코스닥,353810,동물용 사료 및 조제식품 제조업,2020-06-05,12월,서울특별시
드림씨아이에스,코스닥,223250,자연과학 및 공학 연구개발업,2020-05-22,12월,서울특별시
대덕전자,유가,353200,전자부품 제조업,2020-05-21,12월,경기도
HLB사이언스,코넥스,343090,의료용품 및 기타 의약 관련제품 제조업,2020-04-24,12월,서울특별시
캐프,코스닥,198080,전자부품 제조업,2020-03-16,12월,경기도
플레이디,코스닥,237820,광고업,2020-03-12,12월,경기도
서울바이오시스,코스닥,92190,반도체 제조업,2020-03-06,12월,경기도
제이앤티씨,코스닥,204270,전자부품 제조업,2020-03-04,12월,경기도
켄코아에어로스페이스,코스닥,274090,"항공기,우주선 및 부품 제조업",2020-03-03,12월,경상남도
레몬,코스닥,294140,화학섬유 제조업,2020-02-28,12월,경상북도
서남,코스닥,294630,기타 전기장비 제조업,2020-02-20,12월,경기도
위세아이텍,코스닥,65370,소프트웨어 개발 및 공급업,2020-02-10,12월,경기도
케이씨씨글라스,유가,344820,유리 및 유리제품 제조업,2020-01-21,12월,서울특별시
세림B&G,코스닥,340440,플라스틱제품 제조업,2019-12-27,12월,경기도
이앤에치,코넥스,341310,기타 섬유제품 제조업,2019-12-27,12월,경기도
CJ 바이오사이언스,코스닥,311690,자연과학 및 공학 연구개발업,2019-12-26,12월,서울특별시
엔에스엠,코넥스,238170,합성고무 및 플라스틱 물질 제조업,2019-12-26,12월,경기도
한국첨단소재,코스닥,62970,통신 및 방송 장비 제조업,2019-12-26,12월,광주광역시
RF머트리얼즈,코스닥,327260,전자부품 제조업,2019-12-24,12월,경기도
아이비김영,코스닥,339950,일반 교습 학원,2019-12-24,12월,서울특별시
파라택시스코리아,코스닥,288330,기초 의약물질 제조업,2019-12-20,12월,경기도
다보링크,코스닥,340360,통신 및 방송 장비 제조업,2019-12-19,12월,경기도
메드팩토,코스닥,235980,자연과학 및 공학 연구개발업,2019-12-19,12월,서울특별시
원텍,코스닥,336570,의료용 기기 제조업,2019-12-19,12월,대전광역시
신테카바이오,코스닥,226330,소프트웨어 개발 및 공급업,2019-12-17,12월,대전광역시
제이엘케이,코스닥,322510,소프트웨어 개발 및 공급업,2019-12-11,12월,충청북도
태웅로직스,코스닥,124560,기타 운송관련 서비스업,2019-12-10,12월,서울특별시
윙스풋,코스닥,335870,"섬유, 의복, 신발 및 가죽제품 소매업",2019-12-09,12월,서울특별시
노드메이슨,코넥스,317860,기타 화학제품 제조업,2019-12-06,12월,서울특별시
리메드,코스닥,302550,의료용 기기 제조업,2019-12-06,12월,충청북도
NH프라임리츠,유가,338100,부동산 임대 및 공급업,2019-12-05,11월,서울특별시
비올,코스닥,335890,의료용 기기 제조업,2019-12-03,12월,경기도
타스컴,코넥스,336040,의료용 기기 제조업,2019-12-02,12월,경기도
진코스텍,코넥스,250030,기타 화학제품 제조업,2019-11-29,12월,경기도
웨이버스,코스닥,336060,소프트웨어 개발 및 공급업,2019-11-28,12월,서울특별시
유엑스엔,코넥스,337840,의료용 기기 제조업,2019-11-28,12월,경기도
HLB바이오스텝,코스닥,278650,자연과학 및 공학 연구개발업,2019-11-27,12월,인천광역시
씨티알모빌리티,유가,308170,자동차 신품 부품 제조업,2019-11-25,12월,울산광역시
티움바이오,코스닥,321550,자연과학 및 공학 연구개발업,2019-11-22,12월,경기도
씨에스베어링,코스닥,297090,일반 목적용 기계 제조업,2019-11-21,12월,서울특별시
우양,코스닥,103840,"과실, 채소 가공 및 저장 처리업",2019-11-20,12월,충청남도
코리아에셋투자증권,코스닥,190650,금융 지원 서비스업,2019-11-20,03월,서울특별시
HD현대에너지솔루션,유가,322000,반도체 제조업,2019-11-19,12월,경기도
에스제이그룹,코스닥,306040,"가죽, 가방 및 유사제품 제조업",2019-11-18,12월,서울특별시
제테마,코스닥,216080,의료용품 및 기타 의약 관련제품 제조업,2019-11-14,12월,강원특별자치도
한화시스템,유가,272210,전자부품 제조업,2019-11-13,12월,경상북도
라파스,코스닥,214260,기타 화학제품 제조업,2019-11-11,12월,서울특별시
아이티엠반도체,코스닥,84850,전자부품 제조업,2019-11-07,12월,충청북도
일승,코스닥,333430,선박 및 보트 건조업,2019-11-06,12월,부산광역시
자이에스앤디,유가,317400,부동산 임대 및 공급업,2019-11-06,12월,서울특별시
미디어젠,코스닥,279600,소프트웨어 개발 및 공급업,2019-11-05,12월,경기도
LS티라유텍,코스닥,322180,소프트웨어 개발 및 공급업,2019-10-31,12월,서울특별시
모코엠시스,코스닥,333050,소프트웨어 개발 및 공급업,2019-10-31,12월,서울특별시
롯데리츠,유가,330590,부동산 임대 및 공급업,2019-10-30,06월,서울특별시
지누스,유가,13890,가구 제조업,2019-10-30,12월,경기도
밸로프,코스닥,331520,소프트웨어 개발 및 공급업,2019-10-29,12월,서울특별시
캐리소프트,코스닥,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-10-29,12월,서울특별시
한국미라클피플사,코넥스,331660,기타 화학제품 제조업,2019-10-28,12월,경기도
케이엔제이,코스닥,272110,반도체 제조업,2019-10-25,12월,충청남도
엔바이오니아,코스닥,317870,그외 기타 제품 제조업,2019-10-24,12월,충청북도
팜스빌,코스닥,318010,기타 식품 제조업,2019-10-22,12월,서울특별시
두산퓨얼셀,유가,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019-10-18,12월,전북특별자치도
라온피플,코스닥,300120,소프트웨어 개발 및 공급업,2019-10-18,12월,경기도
솔루스첨단소재,유가,336370,전자부품 제조업,2019-10-18,12월,전북특별자치도
콘텐트리중앙,유가,36420,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-10-18,12월,서울특별시
아톤,코스닥,158430,소프트웨어 개발 및 공급업,2019-10-17,12월,서울특별시
녹십자웰빙,코스닥,234690,의약품 제조업,2019-10-14,12월,서울특별시
누보,코스닥,332290,"비료, 농약 및 살균, 살충제 제조업",2019-10-11,12월,경기도
포커스에이아이,코스닥,331380,영상 및 음향기기 제조업,2019-10-02,12월,경기도
엔지브이아이,코넥스,93510,자동차 신품 부품 제조업,2019-09-30,12월,강원특별자치도
올리패스,코스닥,244460,기초 의약물질 제조업,2019-09-20,12월,경기도
라닉스,코스닥,317120,반도체 제조업,2019-09-18,12월,서울특별시
한울반도체,코스닥,320000,특수 목적용 기계 제조업,2019-09-18,12월,경기도
한독크린텍,코스닥,256150,일반 목적용 기계 제조업,2019-09-05,12월,대전광역시
아퓨어스,코넥스,149300,자연과학 및 공학 연구개발업,2019-09-03,12월,경기도
네오크레마,코스닥,311390,기타 식품 제조업,2019-08-22,12월,서울특별시
마니커에프앤지,코스닥,195500,"도축, 육류 가공 및 저장 처리업",2019-08-20,12월,경기도
솔트웨어,코스닥,328380,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2019-08-20,12월,경기도
나노실리칸첨단소재,코스닥,286750,기초 화학물질 제조업,2019-08-19,12월,경기도
에스피시스템스,코스닥,317830,특수 목적용 기계 제조업,2019-08-14,12월,경상남도
레이,코스닥,228670,의료용 기기 제조업,2019-08-08,12월,경기도
그린플러스,코스닥,186230,1차 비철금속 제조업,2019-08-07,12월,충청남도
코윈테크,코스닥,282880,특수 목적용 기계 제조업,2019-08-05,12월,충청남도
덕산테코피아,코스닥,317330,기타 화학제품 제조업,2019-08-02,12월,충청남도
KBG,코스닥,318000,합성고무 및 플라스틱 물질 제조업,2019-08-01,12월,충청남도
엑스페릭스,코스닥,317770,전자부품 제조업,2019-08-01,12월,경기도
세경하이테크,코스닥,148150,전자부품 제조업,2019-07-30,12월,경기도
캐리,코스닥,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019-07-25,12월,경기도
대모,코스닥,317850,특수 목적용 기계 제조업,2019-07-24,12월,경기도
에이스토리,코스닥,241840,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-07-19,12월,서울특별시
플리토,코스닥,300080,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2019-07-17,12월,서울특별시
헥토파이낸셜,코스닥,234340,기타 정보 서비스업,2019-07-12,12월,서울특별시
아이스크림에듀,코스닥,289010,"서적, 잡지 및 기타 인쇄물 출판업",2019-07-11,12월,서울특별시
펨토바이오메드,코넥스,327610,의료용 기기 제조업,2019-07-10,12월,경기도
펌텍코리아,코스닥,251970,플라스틱제품 제조업,2019-07-04,12월,인천광역시
에이에프더블류,코스닥,312610,일차전지 및 이차전지 제조업,2019-07-01,12월,경상북도
태성,코스닥,323280,특수 목적용 기계 제조업,2019-06-24,12월,경기도
압타바이오,코스닥,293780,자연과학 및 공학 연구개발업,2019-06-12,12월,경기도
형지글로벌,코스닥,308100,"섬유, 의복, 신발 및 가죽제품 소매업",2019-06-10,12월,인천광역시
마이크로디지탈,코스닥,305090,의료용 기기 제조업,2019-06-05,12월,경기도
코퍼스코리아,코스닥,322780,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-05-31,12월,서울특별시
프로이천,코스닥,321260,반도체 제조업,2019-05-31,12월,경기도
포스코퓨처엠,유가,3670,일차전지 및 이차전지 제조업,2019-05-29,12월,경상북도
수젠텍,코스닥,253840,의료용품 및 기타 의약 관련제품 제조업,2019-05-28,12월,대전광역시
컴퍼니케이,코스닥,307930,기타 금융업,2019-05-23,12월,서울특별시
피에스케이,코스닥,319660,특수 목적용 기계 제조업,2019-05-10,12월,경기도
현대무벡스,코스닥,319400,일반 목적용 기계 제조업,2019-05-08,12월,서울특별시
TS트릴리온,코스닥,317240,기타 화학제품 제조업,2019-04-29,12월,서울특별시
이노벡스,코넥스,279060,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2019-04-12,12월,경기도
아모그린텍,코스닥,125210,전자부품 제조업,2019-03-29,12월,경기도
현대오토에버,유가,307950,소프트웨어 개발 및 공급업,2019-03-28,12월,서울특별시
지노믹트리,코스닥,228760,자연과학 및 공학 연구개발업,2019-03-27,12월,대전광역시
이지케어텍,코스닥,99750,소프트웨어 개발 및 공급업,2019-03-22,03월,서울특별시
미래에셋벤처투자,코스닥,100790,기타 금융업,2019-03-15,12월,경기도
드림텍,유가,192650,전자부품 제조업,2019-03-14,12월,경기도
더블유게임즈,유가,192080,소프트웨어 개발 및 공급업,2019-03-12,12월,서울특별시
에코프로비엠,코스닥,247540,일차전지 및 이차전지 제조업,2019-03-05,12월,충청북도
셀리드,코스닥,299660,자연과학 및 공학 연구개발업,2019-02-20,12월,서울특별시
우리금융지주,유가,316140,기타 금융업,2019-02-13,12월,서울특별시
천보,코스닥,278280,기초 화학물질 제조업,2019-02-11,12월,충청북도
SCL사이언스,코스닥,246960,의료용품 및 기타 의약 관련제품 제조업,2019-02-01,12월,서울특별시
노랑풍선,코스닥,104620,여행사 및 기타 여행보조 서비스업,2019-01-30,12월,서울특별시
웹케시,코스닥,53580,소프트웨어 개발 및 공급업,2019-01-25,12월,서울특별시
엘에이티,코넥스,311060,특수 목적용 기계 제조업,2018-12-28,12월,경기도
에어부산,유가,298690,항공 여객 운송업,2018-12-27,12월,부산광역시
비피도,코스닥,238200,기타 식품 제조업,2018-12-26,12월,강원특별자치도
유틸렉스,코스닥,263050,기초 의약물질 제조업,2018-12-24,12월,서울특별시
디케이티,코스닥,290550,전자부품 제조업,2018-12-21,12월,인천광역시
아이엘,코스닥,307180,전구 및 조명장치 제조업,2018-12-21,12월,충청남도
애니플러스,코스닥,310200,"영화, 비디오물, 방송프로그램 제작 및 배급업",2018-12-21,12월,서울특별시
테크엔,코넥스,308700,전구 및 조명장치 제조업,2018-12-21,12월,대구광역시
디와이씨,코스닥,310870,자동차 신품 부품 제조업,2018-12-20,12월,경상북도
위지윅스튜디오,코스닥,299900,"영화, 비디오물, 방송프로그램 제작 및 배급업",2018-12-20,12월,서울특별시
조이웍스앤코,코스닥,309930,기타 생활용품 소매업,2018-12-20,12월,서울특별시
국전약품,코스닥,307750,의약품 제조업,2018-12-19,12월,경기도
에이비엘바이오,코스닥,298380,기초 의약물질 제조업,2018-12-19,12월,서울특별시
머큐리,코스닥,100590,통신 및 방송 장비 제조업,2018-12-14,12월,인천광역시
전진바이오팜,코스닥,110020,기타 화학제품 제조업,2018-12-14,12월,대구광역시
뉴트리,코스닥,270870,기타 식품 제조업,2018-12-13,12월,서울특별시
비투엔,코스닥,307870,소프트웨어 개발 및 공급업,2018-12-12,12월,서울특별시
이노메트리,코스닥,302430,특수 목적용 기계 제조업,2018-12-12,12월,경기도
DH오토리드,코스닥,290120,자동차 신품 부품 제조업,2018-12-07,12월,전북특별자치도
에코캡,코스닥,128540,자동차 신품 부품 제조업,2018-12-05,12월,울산광역시
원바이오젠,코스닥,307280,의료용품 및 기타 의약 관련제품 제조업,2018-12-05,12월,경상북도
윙입푸드,코스닥,900340,기타 금융업,2018-11-30,12월,홍콩
남화산업,코스닥,111710,스포츠 서비스업,2018-11-29,12월,전라남도
엠아이텍,코스닥,179290,의료용 기기 제조업,2018-11-29,12월,경기도
티로보틱스,코스닥,117730,특수 목적용 기계 제조업,2018-11-29,12월,경기도
네오펙트,코스닥,290660,의료용 기기 제조업,2018-11-28,12월,경기도
에이펙스인텍,코넥스,207490,전구 및 조명장치 제조업,2018-11-28,12월,경상북도
티앤알바이오팹,코스닥,246710,기초 의약물질 제조업,2018-11-28,12월,경기도
나라소프트,코넥스,288490,소프트웨어 개발 및 공급업,2018-11-23,12월,서울특별시
아시아나IDT,유가,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-11-23,12월,서울특별시
디알젬,코스닥,263690,의료용 기기 제조업,2018-11-22,12월,경기도
싸이토젠,코스닥,217330,자연과학 및 공학 연구개발업,2018-11-22,12월,서울특별시
아주IB투자,코스닥,27360,기타 금융업,2018-11-21,12월,서울특별시
파멥신,코스닥,208340,의약품 제조업,2018-11-21,12월,대전광역시
디케이앤디,코스닥,263020,플라스틱제품 제조업,2018-11-20,12월,경기도
퀀텀온,코스닥,227100,부동산 관련 서비스업,2018-11-15,12월,서울특별시
노바렉스,코스닥,194700,기타 식품 제조업,2018-11-14,12월,충청북도
대보마그네틱,코스닥,290670,기타 전기장비 제조업,2018-11-06,12월,경기도
노바텍,코스닥,285490,그외 기타 제품 제조업,2018-11-02,12월,경기도
엘앤씨바이오,코스닥,290650,의약품 제조업,2018-11-01,12월,경기도
네온테크,코스닥,306620,특수 목적용 기계 제조업,2018-10-31,12월,경기도
로보티즈,코스닥,108490,특수 목적용 기계 제조업,2018-10-26,12월,서울특별시
옵티팜,코스닥,153710,의료용품 및 기타 의약 관련제품 제조업,2018-10-26,12월,충청북도
에스퓨얼셀,코스닥,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-10-15,12월,경기도
세아제강,유가,306200,1차 철강 제조업,2018-10-05,12월,서울특별시
나우IB,코스닥,293580,기타 금융업,2018-10-04,12월,서울특별시
푸드나무,코스닥,290720,무점포 소매업,2018-10-04,12월,서울특별시
하나제약,유가,293480,의약품 제조업,2018-10-02,12월,경기도
크리스에프앤씨,코스닥,110790,봉제의복 제조업,2018-10-01,12월,서울특별시
더블유에스아이,코스닥,299170,생활용품 도매업,2018-09-21,12월,서울특별시
한국비티비,코스닥,219750,의료용 기기 제조업,2018-09-21,12월,경기도
우진아이엔에스,유가,10400,건물설비 설치 공사업,2018-09-14,12월,서울특별시
엔피,코스닥,291230,기타 사업지원 서비스업,2018-09-13,12월,서울특별시
피엔티엠에스,코스닥,257370,특수 목적용 기계 제조업,2018-09-13,12월,대구광역시
엔솔바이오사이언스,코넥스,140610,자연과학 및 공학 연구개발업,2018-09-10,12월,대전광역시
디지캡,코스닥,197140,소프트웨어 개발 및 공급업,2018-09-07,12월,서울특별시
지니틱스,코스닥,303030,반도체 제조업,2018-08-30,12월,경기도
액트로,코스닥,290740,전자부품 제조업,2018-08-28,12월,경기도
오파스넷,코스닥,173130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-08-24,12월,서울특별시
브이엠,코스닥,89970,특수 목적용 기계 제조업,2018-08-23,12월,경기도
바이오솔루션,코스닥,86820,기초 의약물질 제조업,2018-08-20,12월,서울특별시
더콘텐츠온,코넥스,302920,"영화, 비디오물, 방송프로그램 제작 및 배급업",2018-08-13,12월,서울특별시
신한알파리츠,유가,293940,부동산 임대 및 공급업,2018-08-08,03월,서울특별시
디아이티,코스닥,110990,특수 목적용 기계 제조업,2018-08-07,12월,경기도
에스에스알,코스닥,275630,소프트웨어 개발 및 공급업,2018-08-06,12월,서울특별시
한일시멘트,유가,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업",2018-08-06,12월,서울특별시
휴네시온,코스닥,290270,소프트웨어 개발 및 공급업,2018-08-02,12월,서울특별시
티웨이항공,유가,91810,항공 여객 운송업,2018-08-01,12월,대구광역시
롯데이노베이트,유가,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-07-27,12월,서울특별시
한국유니온제약,코스닥,80720,의약품 제조업,2018-07-26,12월,강원특별자치도
그리티,코스닥,204020,봉제의복 제조업,2018-07-23,12월,서울특별시
알로이스,코스닥,297570,통신 및 방송 장비 제조업,2018-07-20,12월,경기도
올릭스,코스닥,226950,자연과학 및 공학 연구개발업,2018-07-18,12월,경기도
HS효성첨단소재,유가,298050,화학섬유 제조업,2018-07-13,12월,서울특별시
테크트랜스,코넥스,258050,기타 금속 가공제품 제조업,2018-07-13,12월,경상북도
효성중공업,유가,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-07-13,12월,서울특별시
효성티앤씨,유가,298020,화학섬유 제조업,2018-07-13,12월,서울특별시
효성화학,유가,298000,기초 화학물질 제조업,2018-07-13,12월,서울특별시
아이큐어,코스닥,175250,의약품 제조업,2018-07-12,12월,서울특별시
SV인베스트먼트,코스닥,289080,기타 금융업,2018-07-06,03월,서울특별시
엘리비젼,코넥스,276240,영상 및 음향기기 제조업,2018-07-05,12월,인천광역시
지앤이헬스케어,코넥스,299480,기타 섬유제품 제조업,2018-06-29,12월,경기도
이리츠코크렙,유가,88260,부동산 임대 및 공급업,2018-06-27,06월,서울특별시
EDGC,코스닥,245620,자연과학 및 공학 연구개발업,2018-06-26,12월,인천광역시
HDC현대산업개발,유가,294870,건물 건설업,2018-06-12,12월,서울특별시
카이노스메드,코스닥,284620,자연과학 및 공학 연구개발업,2018-06-08,12월,경기도
파워넷,코스닥,37030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-06-07,12월,서울특별시
현대사료,코스닥,16790,동물용 사료 및 조제식품 제조업,2018-06-01,12월,충청남도
세종메디칼,코스닥,258830,의료용 기기 제조업,2018-05-29,12월,경기도
제노레이,코스닥,122310,의료용 기기 제조업,2018-05-28,12월,경기도
에스제이켐,코넥스,217910,기초 화학물질 제조업,2018-04-27,12월,전북특별자치도
JTC,코스닥,950170,종합 소매업,2018-04-06,02월,일본
네오셈,코스닥,253590,특수 목적용 기계 제조업,2018-04-04,12월,경기도
케어랩스,코스닥,263700,광고업,2018-03-28,12월,서울특별시
애경산업,유가,18250,기타 화학제품 제조업,2018-03-22,12월,서울특별시
린드먼아시아,코스닥,277070,신탁업 및 집합투자업,2018-03-14,12월,서울특별시
오스테오닉,코스닥,226400,의료용 기기 제조업,2018-02-22,12월,서울특별시
엔지켐생명과학,코스닥,183490,기초 의약물질 제조업,2018-02-21,12월,충청북도
동구바이오제약,코스닥,6620,의약품 제조업,2018-02-13,12월,서울특별시
아시아종묘,코스닥,154030,작물 재배업,2018-02-12,09월,서울특별시
알리코제약,코스닥,260660,의료용품 및 기타 의약 관련제품 제조업,2018-02-12,12월,서울특별시
셀트리온,유가,68270,기초 의약물질 제조업,2018-02-09,12월,인천광역시
카페24,코스닥,42000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2018-02-08,12월,서울특별시
링크제니시스,코스닥,219420,소프트웨어 개발 및 공급업,2018-02-05,12월,경기도
배럴,코스닥,267790,봉제의복 제조업,2018-02-01,12월,서울특별시
SG,코스닥,255220,기타 비금속 광물제품 제조업,2018-01-26,12월,인천광역시
씨앤지하이테크,코스닥,264660,특수 목적용 기계 제조업,2018-01-25,12월,경기도
쿠쿠홈시스,유가,284740,개인 및 가정용품 임대업,2018-01-11,12월,경기도
SK케미칼,유가,285130,합성고무 및 플라스틱 물질 제조업,2018-01-05,12월,경기도
시스웍,코스닥,269620,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2017-12-26,12월,대전광역시
디바이스,코스닥,187870,특수 목적용 기계 제조업,2017-12-20,12월,충청남도
씨알푸드,코넥스,236030,"곡물가공품, 전분 및 전분제품 제조업",2017-12-14,12월,충청북도
레이크머티리얼즈,코스닥,281740,기타 화학제품 제조업,2017-12-12,12월,세종특별자치시
BGF리테일,유가,282330,종합 소매업,2017-12-08,12월,서울특별시
DYP,유가,92780,자동차용 엔진 및 자동차 제조업,2017-12-08,12월,경기도
진에어,유가,272450,항공 여객 운송업,2017-12-08,12월,서울특별시
씨티케이,코스닥,260930,기타 화학제품 제조업,2017-12-07,12월,서울특별시
메카로,코스닥,241770,반도체 제조업,2017-12-06,12월,경기도
에스트래픽,코스닥,234300,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2017-12-05,12월,경기도
케이씨텍,유가,281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2017-12-05,12월,경기도
체리부로,코스닥,66360,"도축, 육류 가공 및 저장 처리업",2017-12-04,12월,충청북도
대원,코스닥,7680,건물 건설업,2017-12-01,12월,충청북도
삼양패키징,유가,272550,플라스틱제품 제조업,2017-11-29,12월,서울특별시
스튜디오드래곤,코스닥,253450,"영화, 비디오물, 방송프로그램 제작 및 배급업",2017-11-24,12월,서울특별시
코오롱티슈진,코스닥,950160,기초 의약물질 제조업,2017-11-06,12월,미국
EMB,코넥스,278990,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2017-10-31,12월,경기도
테이팩스,유가,55490,플라스틱제품 제조업,2017-10-31,12월,경기도
롯데웰푸드,유가,280360,기타 식품 제조업,2017-10-30,12월,서울특별시
탑선,코넥스,180060,기타 전기장비 제조업,2017-10-27,12월,전라남도
영화테크,코스닥,265560,자동차 신품 부품 제조업,2017-10-26,12월,충청남도
폴라리스세원,코스닥,234100,자동차 신품 부품 제조업,2017-10-20,12월,경기도
상신전자,코스닥,263810,전자부품 제조업,2017-10-16,12월,경상남도
야스,코스닥,255440,특수 목적용 기계 제조업,2017-09-29,12월,경기도
인산가,코스닥,277410,기타 식품 제조업,2017-09-29,12월,경상남도
휴엠앤씨,코스닥,263920,그외 기타 제품 제조업,2017-09-28,12월,인천광역시
신흥에스이씨,코스닥,243840,일차전지 및 이차전지 제조업,2017-09-27,12월,경기도
유티아이,코스닥,179900,전자부품 제조업,2017-09-27,12월,충청남도
선익시스템,코스닥,171090,특수 목적용 기계 제조업,2017-09-20,12월,경기도
엠플러스,코스닥,259630,특수 목적용 기계 제조업,2017-09-20,12월,충청북도
앱클론,코스닥,174900,의료용품 및 기타 의약 관련제품 제조업,2017-09-18,12월,서울특별시
펄어비스,코스닥,263750,소프트웨어 개발 및 공급업,2017-09-14,12월,경기도
킵스파마,코스닥,256940,의약품 제조업,2017-09-06,12월,경기도
SK시그넷,코넥스,260870,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2017-08-30,12월,전라남도
덕우전자,코스닥,263600,전자부품 제조업,2017-08-28,12월,경상북도
앱튼,코스닥,270520,"건축기술, 엔지니어링 및 관련 기술 서비스업",2017-08-22,12월,경기도
케일럼,코스닥,258610,"구조용 금속제품, 탱크 및 증기발생기 제조업",2017-08-22,12월,부산광역시
알에스오토메이션,코스닥,140670,전자부품 제조업,2017-08-11,12월,경기도
컬러레이,코스닥,900310,기타 금융업,2017-08-10,12월,홍콩
와이즈버즈,코스닥,273060,광고업,2017-08-07,12월,경기도
모트렉스,코스닥,118990,자동차 신품 부품 제조업,2017-08-04,12월,경기도
데이타솔루션,코스닥,263800,기계장비 및 관련 물품 도매업,2017-08-03,12월,서울특별시
지니언스,코스닥,263860,소프트웨어 개발 및 공급업,2017-08-02,12월,경기도
