기업명,연도,보고서유형,성별,정규직,계약직,총급여
BYC,2019,반기보고서,남,264.0,34.0,6084374000.0
BYC,2019,반기보고서,여,327.0,13.0,4347933000.0
BYC,2019,사업보고서,남,276.0,36.0,12717308000.0
BYC,2019,사업보고서,여,334.0,16.0,9114465000.0
BYC,2020,반기보고서,남,281.0,28.0,6359886000.0
BYC,2020,반기보고서,여,323.0,13.0,4422095000.0
BYC,2020,사업보고서,남,250.0,23.0,12701143000.0
BYC,2020,사업보고서,여,307.0,10.0,8875704000.0
BYC,2021,반기보고서,남,252.0,22.0,5970938000.0
BYC,2021,반기보고서,여,292.0,5.0,4022939000.0
BYC,2021,사업보고서,남,246.0,24.0,12136083000.0
BYC,2021,사업보고서,여,291.0,5.0,8353504000.0
BYC,2022,반기보고서,남,241.0,26.0,6108779000.0
BYC,2022,반기보고서,여,296.0,6.0,4184595000.0
BYC,2022,사업보고서,남,239.0,25.0,12591187000.0
BYC,2022,사업보고서,여,301.0,5.0,8683963000.0
BYC,2023,반기보고서,남,230.0,27.0,6245887000.0
BYC,2023,반기보고서,여,300.0,4.0,4478885000.0
BYC,2023,사업보고서,남,230.0,23.0,12658810000.0
BYC,2023,사업보고서,여,301.0,3.0,9268688000.0
BYC,2024,반기보고서,남,219.0,25.0,6058722000.0
BYC,2024,반기보고서,여,302.0,3.0,4633557000.0
BYC,2024,사업보고서,남,210.0,28.0,11659905000.0
BYC,2024,사업보고서,여,315.0,3.0,9353265000.0
CJ,2016,반기보고서,남,21.0,0.0,819000000.0
CJ,2016,반기보고서,여,13.0,0.0,412000000.0
CJ,2016,사업보고서,남,21.0,0.0,1643000000.0
CJ,2016,사업보고서,여,13.0,0.0,763000000.0
CJ,2017,반기보고서,남,18.0,0.0,804000000.0
CJ,2017,반기보고서,여,13.0,0.0,358000000.0
CJ,2017,사업보고서,남,15.0,0.0,1640000000.0
CJ,2017,사업보고서,여,13.0,0.0,756000000.0
CJ,2018,반기보고서,남,20.0,0.0,842000000.0
CJ,2018,반기보고서,여,14.0,0.0,456000000.0
CJ,2018,사업보고서,남,37.0,1.0,18494000000.0
CJ,2018,사업보고서,여,20.0,0.0,3838000000.0
CJ,2019,반기보고서,남,43.0,2.0,6910000000.0
CJ,2019,반기보고서,여,19.0,0.0,1082000000.0
CJ,2019,사업보고서,남,43.0,2.0,20908000000.0
CJ,2019,사업보고서,여,20.0,0.0,3271000000.0
CJ,2020,반기보고서,남,36.0,5.0,6869000000.0
CJ,2020,반기보고서,여,14.0,1.0,1015000000.0
CJ,2020,사업보고서,남,33.0,5.0,22695000000.0
CJ,2020,사업보고서,여,14.0,1.0,3491000000.0
CJ,2021,반기보고서,남,39.0,5.0,6464000000.0
CJ,2021,반기보고서,여,15.0,1.0,1154000000.0
CJ,2021,사업보고서,남,38.0,5.0,26698000000.0
CJ,2021,사업보고서,여,15.0,1.0,4606000000.0
CJ,2022,반기보고서,남,39.0,7.0,7915000000.0
CJ,2022,반기보고서,여,16.0,1.0,1207000000.0
CJ,2022,사업보고서,남,44.0,7.0,34803000000.0
CJ,2022,사업보고서,여,15.0,1.0,3187000000.0
CJ,2023,반기보고서,남,46.0,6.0,9356000000.0
CJ,2023,반기보고서,여,16.0,2.0,1086000000.0
CJ,2023,사업보고서,남,50.0,0.0,34354000000.0
CJ,2023,사업보고서,여,15.0,2.0,3161000000.0
CJ,2024,반기보고서,남,43.0,0.0,9117000000.0
CJ,2024,반기보고서,여,15.0,1.0,1047000000.0
CJ,2024,사업보고서,남,45.0,0.0,46222000000.0
CJ,2024,사업보고서,여,16.0,1.0,3034000000.0
CJ CGV,2016,반기보고서,남,777.0,2.0,18669000000.0
CJ CGV,2016,반기보고서,여,729.0,1.0,13842000000.0
CJ CGV,2016,사업보고서,남,777.0,4.0,37272000000.0
